agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,2,28550199,220,0.7059,1.8,5.3804,0.148,,,2736,253,0.192,0.598
alice,2,28550199,221,0.4411,1.4041,5.3397,0.1474,,,2709,196,0.192,0.683
alice,2,28550199,222,0.2902,1.072,5.2628,0.1468,,,2609,488,0.176,0.728
alice,2,28550199,223,0.1881,0.8824,5.0345,0.1462,,,2564,601,0.165,0.706
alice,2,28550199,224,0.1548,0.7718,4.9153,0.1455,,,2544,624,0.161,0.631
alice,2,28550199,225,0.0841,0.6836,4.7565,0.1449,,,2421,856,0.142,0.569
alice,2,28550199,226,0.081,0.6149,4.7166,0.1443,,,2376,1019,0.134,0.62
alice,2,28550199,227,0.067,0.5791,4.8545,0.1438,,,2239,1213,0.122,0.695
alice,2,28550199,228,0.0714,0.5142,4.7292,0.1432,,,2175,1462,0.111,0.612
alice,2,28550199,229,0.0388,0.4259,4.7135,0.1426,,,1862,2192,0.083,0.58
alice,2,28550199,230,0.0649,0.3659,4.3857,0.142,,,1953,2284,0.082,0.744
alice,2,28550199,231,0.069,0.4271,4.5913,0.1415,,,2034,1960,0.091,0.663
alice,2,28550199,232,0.0722,0.4166,4.5104,0.1409,,,2098,1875,0.095,0.692
alice,2,28550199,233,0.0636,0.393,4.5119,0.1404,,,2103,1854,0.095,0.684
alice,2,28550199,234,0.0745,0.4272,4.4669,0.1399,,,2172,1617,0.104,0.631
alice,2,28550199,235,0.076,0.4387,4.4569,0.1393,,,2145,1607,0.107,0.604
alice,2,28550199,236,0.0542,0.4529,4.5522,0.1388,,,2154,1580,0.104,0.677
alice,2,28550199,237,0.0665,0.4767,4.6247,0.1383,,,0,0,,
alice,2,28551075,240,0.2658,0.8392,4.8968,0.1368,,,2510,1678,0.111,0.613
alice,2,28551075,241,0.0833,0.4272,4.7685,0.1363,,,1963,2431,0.083,0.818
alice,2,28551075,242,0.0356,0.3637,4.7128,0.1358,,,1782,2539,0.073,0.732
alice,2,28551075,243,0.0593,0.431,4.8263,0.1354,,,1945,2189,0.084,0.656
alice,2,28551075,244,0.0587,0.4407,4.6679,0.1349,,,2068,1881,0.09,0.758
alice,2,28551075,245,0.052,0.4367,4.7176,0.1344,,,2064,1841,0.091,0.604
alice,2,28551075,246,0.0496,0.4108,4.5895,0.134,,,2049,1885,0.09,0.598
alice,2,28551075,247,0.0515,0.434,4.788,0.1335,,,1966,1934,0.09,0.666
alice,2,28551075,248,0.06,0.4253,4.7177,0.1331,,,2014,1962,0.091,0.65
alice,2,28551075,249,0.0459,0.4077,4.8311,0.1326,,,1953,2054,0.089,0.705
alice,2,28551075,250,0.0485,0.3987,4.7747,0.1322,,,1891,2177,0.084,0.649
alice,2,28551075,251,0.0502,0.3623,4.773,0.1322,,,1907,2267,0.083,0.702
alice,2,28551075,252,0.047,0.3488,4.5934,0.1322,,,1947,2248,0.085,0.705
alice,2,28551075,253,0.0474,0.3869,4.7497,0.1322,,,1937,2107,0.089,0.67
alice,2,28551075,254,0.0444,0.3607,4.4075,0.1322,,,1967,2165,0.087,0.694
alice,2,28551075,255,0.0468,0.3791,4.5545,0.1322,,,1986,2161,0.088,0.618
alice,2,28551075,256,0.0455,0.4211,4.7173,0.1322,,,1999,1950,0.092,0.614
bob,2,28550199,220,0.0162,0.1484,0.0,,-1.0947,0.1175,,,,
bob,2,28550199,221,0.0053,0.1481,0.0,,-1.0993,0.1118,,,,
bob,2,28550199,222,0.0008,0.1492,0.0,,-1.0917,0.1178,,,,
bob,2,28550199,223,0.01,0.1645,0.0,,-1.078,0.1389,,,,
bob,2,28550199,224,0.0096,0.1494,0.0,,-1.1112,0.1339,,,,
bob,2,28550199,225,0.0119,0.168,0.0,,-1.0705,0.1446,,,,
bob,2,28550199,226,0.0065,0.158,0.0,,-1.075,0.1391,,,,
bob,2,28550199,227,0.0066,0.1563,0.0,,-1.0886,0.1316,,,,
