agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
alice,0,28528526,0,-0.0051,1.0381,1.7676,1.0,,,160,1062
alice,0,28528526,1,-0.0036,0.7978,1.3887,0.9881,,,130,1157
alice,0,28528526,2,-0.0018,0.757,1.4062,0.9763,,,127,1164
alice,0,28528526,3,-0.0017,0.7644,1.4707,0.9647,,,140,1127
alice,0,28528526,4,-0.0017,0.8469,1.7246,0.9533,,,161,1071
alice,0,28528526,5,-0.0014,0.7836,1.5977,0.942,,,160,1071
alice,0,28528526,6,0.0005,0.8223,1.6973,0.9309,,,162,1067
alice,0,28528526,7,0.0005,0.7362,1.4199,0.9199,,,139,1138
alice,0,28528526,8,-0.0,0.9079,1.8926,0.909,,,176,1027
alice,0,28528526,9,0.0013,0.8877,1.8359,0.8983,,,168,1040
alice,0,28528526,10,0.0026,0.8204,1.6504,0.8878,,,166,1062
alice,0,28528526,11,0.0031,0.8928,1.7773,0.8773,,,166,1056
alice,0,28528526,12,0.0029,0.925,1.9609,0.8671,,,186,1002
alice,0,28528526,13,0.0045,0.9342,1.8496,0.8569,,,184,1008
alice,0,28528526,14,0.0053,1.0412,2.1641,0.8469,,,200,948
alice,0,28528526,15,0.0067,1.0111,1.9629,0.837,,,197,972
alice,0,28528526,16,0.0082,1.0104,1.9004,0.8273,,,187,993
alice,0,28528526,17,0.0099,1.0529,1.9355,0.8176,,,194,996
alice,0,28528526,18,0.0089,1.03,1.8613,0.8081,,,180,1010
alice,0,28528526,19,0.0084,1.0704,2.0723,0.7988,,,204,956
alice,0,28528526,20,0.0082,1.0649,2.0215,0.7895,,,201,963
alice,0,28528526,21,0.0071,1.1411,2.2559,0.7804,,,217,905
alice,0,28528526,22,0.0126,1.2285,2.2988,0.7714,,,220,898
alice,0,28528526,23,0.0206,1.1949,2.0059,0.7625,,,203,965
alice,0,28528526,24,0.0269,1.2932,2.3105,0.7537,,,226,882
alice,0,28528526,25,0.0334,1.2691,2.3223,0.7451,,,235,871
alice,0,28528526,26,0.0288,1.2779,2.1055,0.7366,,,213,931
alice,0,28528526,27,0.0241,1.2663,2.2578,0.7281,,,234,878
alice,0,28528526,28,0.0234,1.3141,2.6113,0.7198,,,245,826
alice,0,28528526,29,0.048,1.2915,2.293,0.7116,,,221,896
alice,0,28528526,30,0.0384,1.3447,2.5078,0.7035,,,239,850
