agent,chain,job_id,local_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
alice,3,28544800,750,0.2342,0.6476,4.9609,0.1322,,,504,96
alice,3,28544800,751,0.1172,0.836,4.3164,0.1322,,,455,265
alice,3,28544800,752,0.1016,0.8733,4.6777,0.1322,,,495,165
alice,3,28544800,753,0.1521,0.8405,4.8164,0.1322,,,498,138
alice,3,28544800,754,0.2227,1.6796,2.9355,0.1322,,,498,152
alice,3,28544800,755,0.1029,1.1097,4.6914,0.1322,,,500,140
alice,3,28544800,756,0.1587,1.1015,4.4121,0.1322,,,503,123
alice,3,28544800,757,0.1403,1.2211,4.2637,0.1322,,,488,187
alice,3,28544800,758,0.116,1.1245,4.5508,0.1322,,,502,145
alice,3,28544800,759,0.2349,1.3982,3.9375,0.1322,,,504,110
alice,3,28544800,760,0.1661,1.2787,4.3105,0.1322,,,495,173
alice,3,28544800,761,0.1675,1.314,4.4258,0.1322,,,498,155
alice,3,28544800,762,0.1467,1.2773,4.3984,0.1322,,,497,151
alice,3,28544800,763,0.1594,1.3427,4.2031,0.1322,,,492,183
alice,3,28544800,764,0.2038,1.2918,4.2812,0.1322,,,503,136
alice,3,28544800,765,0.1066,1.2687,4.457,0.1322,,,492,172
alice,3,28544800,766,0.154,1.2109,4.4766,0.1322,,,498,127
alice,3,28544800,767,0.1351,1.3429,4.2598,0.1322,,,493,168
alice,3,28544800,768,0.1268,1.4013,4.1992,0.1322,,,494,180
alice,3,28544800,769,0.171,1.1935,4.5195,0.1322,,,500,135
alice,3,28544800,770,0.1599,1.2997,4.4023,0.1322,,,496,144
alice,3,28544800,771,0.1489,1.0915,4.7539,0.1322,,,502,120
alice,3,28544800,772,0.1228,1.3826,4.3164,0.1322,,,486,192
alice,3,28544800,773,0.1941,1.3566,4.3105,0.1322,,,491,156
alice,3,28544800,774,0.1419,1.4487,4.1562,0.1322,,,496,166
alice,3,28544800,775,0.1502,1.3432,4.4121,0.1322,,,499,150
alice,3,28544800,776,0.1991,1.3819,4.4355,0.1322,,,494,174
alice,3,28544800,777,0.1417,1.3967,4.4414,0.1322,,,506,147
alice,3,28544800,778,0.166,1.3615,4.3477,0.1322,,,500,146
alice,3,28544800,779,0.1348,1.3245,4.3301,0.1322,,,497,160
alice,3,28544800,780,0.1715,1.3688,4.2988,0.1322,,,504,144
alice,3,28544800,781,0.2006,1.3509,4.5273,0.1322,,,497,142
alice,3,28544800,782,0.1079,1.4273,4.1875,0.1322,,,495,166
