agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,2,28556263,0,0.0277,0.3555,5.3904,1.0,,,1619,4191,0.05,0.65
alice,2,28556263,1,-0.0009,0.2527,5.3636,0.9881,,,1268,3907,0.046,0.615
alice,2,28556263,2,0.0008,0.2794,5.3979,0.9763,,,1321,3798,0.047,0.522
alice,2,28556263,3,0.0004,0.2669,5.4763,0.9647,,,1288,3878,0.047,0.644
alice,2,28556263,4,0.0003,0.2423,5.2461,0.9533,,,1281,3928,0.046,0.583
alice,2,28556263,5,0.0005,0.2537,5.4454,0.942,,,1294,3885,0.047,0.696
alice,2,28556263,6,0.0007,0.2461,5.2232,0.9309,,,1321,3832,0.049,0.68
alice,2,28556263,7,0.0005,0.2489,5.1695,0.9199,,,1353,3764,0.048,0.622
alice,2,28556263,8,0.0012,0.2769,5.3422,0.909,,,1401,3588,0.051,0.692
alice,2,28556263,9,-0.0009,0.2295,5.1259,0.8983,,,1308,3791,0.047,0.654
alice,2,28556263,10,-0.0009,0.2382,5.328,0.8878,,,1320,3838,0.047,0.749
alice,2,28556263,11,-0.0017,0.2394,5.0649,0.8773,,,1334,3796,0.049,0.618
alice,2,28556263,12,-0.0001,0.2506,5.2187,0.8671,,,1362,3747,0.05,0.832
alice,2,28556263,13,-0.0014,0.2536,5.0774,0.8569,,,1348,3718,0.05,0.737
alice,2,28556263,14,0.0047,0.2929,5.3346,0.8469,,,1443,3519,0.054,0.673
alice,2,28556263,15,-0.0017,0.2585,5.1414,0.837,,,1347,3693,0.05,0.594
alice,2,28556263,16,0.0024,0.2718,5.2891,0.8273,,,1387,3661,0.051,0.633
alice,2,28556263,17,0.0022,0.2753,5.2942,0.8176,,,1433,3564,0.053,0.785
alice,2,28556263,18,-0.0013,0.2766,5.2695,0.8081,,,1386,3594,0.05,0.607
alice,2,28556263,19,0.0011,0.2637,5.167,0.7988,,,1426,3603,0.054,0.652
alice,2,28556263,20,-0.0008,0.294,5.2362,0.7895,,,1403,3490,0.052,0.731
alice,2,28556263,21,0.0029,0.2508,5.1071,0.7804,,,1402,3657,0.052,0.648
alice,2,28556263,22,0.0003,0.2586,5.2261,0.7714,,,1403,3623,0.052,0.571
alice,2,28556263,23,0.0015,0.2728,5.1461,0.7625,,,1432,3517,0.054,0.601
alice,2,28556263,24,0.0025,0.2629,5.1437,0.7537,,,1396,3597,0.051,0.664
alice,2,28556263,25,0.0061,0.2951,5.1634,0.7451,,,1482,3415,0.055,0.702
alice,2,28556263,26,0.0038,0.2742,5.0756,0.7366,,,1452,3504,0.054,0.652
alice,2,28556263,27,0.0058,0.2827,5.2276,0.7281,,,1441,3446,0.053,0.593
alice,2,28556263,28,0.0069,0.2732,5.2077,0.7198,,,1422,3539,0.054,0.687
alice,2,28556263,29,0.0093,0.2816,5.1893,0.7116,,,1488,3422,0.055,0.599
alice,2,28556263,30,0.0062,0.2825,5.1786,0.7035,,,1467,3403,0.054,0.649
alice,2,28556263,31,0.0093,0.3077,5.2982,0.6955,,,1467,3352,0.055,0.614
alice,2,28556263,32,0.0118,0.2713,5.1022,0.6877,,,1467,3472,0.056,0.832
alice,2,28556263,33,0.0126,0.2649,5.0496,0.6799,,,1463,3461,0.055,0.635
alice,2,28556263,34,0.0126,0.2604,4.9867,0.6722,,,1471,3457,0.055,0.623
alice,2,28556263,35,0.012,0.3015,5.3188,0.6646,,,1493,3333,0.057,0.648
alice,2,28556263,36,0.0115,0.2623,5.0077,0.6572,,,1428,3505,0.055,0.643
alice,2,28556263,37,0.0156,0.2986,5.1019,0.6498,,,1501,3353,0.056,0.583
alice,2,28556263,38,0.0154,0.271,5.0753,0.6425,,,1453,3462,0.055,0.555
alice,2,28556263,39,0.012,0.2597,5.0463,0.6353,,,1435,3567,0.054,0.572
alice,2,28556263,40,0.0189,0.2917,5.1403,0.6283,,,1504,3319,0.058,0.77
alice,2,28556263,41,0.0172,0.3125,5.2598,0.6213,,,1486,3291,0.058,0.639
alice,2,28556263,42,0.0221,0.2952,5.25,0.6144,,,1539,3322,0.058,0.636
alice,2,28556263,43,0.016,0.2839,5.0755,0.6076,,,1500,3328,0.058,0.672
alice,2,28556263,44,0.0147,0.2739,5.1832,0.6009,,,1480,3446,0.056,0.648
alice,2,28556263,45,0.0142,0.3028,5.2042,0.5942,,,1512,3255,0.059,0.658
alice,2,28556263,46,0.0166,0.2668,5.2161,0.5877,,,1481,3399,0.058,0.635
