agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals
alice,1,28537871,71,0.0869,1.3493,3.0887,0.4496,,,1498,3380
alice,1,28537871,72,0.0924,1.3228,3.1355,0.4449,,,1531,3287
alice,1,28537871,73,0.1041,1.3537,2.8496,0.4404,,,1418,3609
alice,1,28537871,74,0.0729,1.3386,2.7742,0.4359,,,1372,3721
alice,1,28537871,75,0.0777,1.4606,3.057,0.4314,,,1503,3384
alice,1,28537871,76,0.1077,1.3797,3.109,0.427,,,1528,3291
alice,1,28537871,77,0.0715,1.4311,3.1797,0.4227,,,1564,3205
alice,1,28537871,78,0.0887,1.4374,2.907,0.4184,,,1440,3568
alice,1,28537871,79,0.1157,1.4941,2.9465,0.4142,,,1453,3528
alice,1,28537871,80,0.1035,1.5015,3.0621,0.4101,,,1505,3387
alice,1,28537871,81,0.0967,1.5271,3.4047,0.406,,,1640,2980
alice,1,28538628,82,0.1003,1.112,2.3957,0.4019,,,1128,4403
alice,1,28538628,83,0.1036,1.1134,2.7477,0.3979,,,1289,3937
alice,1,28538628,84,0.0838,1.1958,3.2687,0.394,,,1579,3104
alice,1,28538628,85,0.08,1.2481,3.3031,0.3901,,,1599,3074
alice,1,28538628,86,0.0908,1.3231,3.3348,0.3863,,,1675,2868
alice,1,28538628,87,0.0853,1.3817,2.9227,0.3825,,,1525,3324
alice,1,28538628,88,0.1143,1.3719,3.2926,0.3787,,,1717,2811
alice,1,28538628,89,0.1228,1.427,3.291,0.375,,,1729,2793
alice,1,28538628,90,0.1037,1.4608,2.7551,0.3714,,,1441,3576
alice,1,28538628,91,0.1213,1.3882,3.1977,0.3678,,,1654,3027
alice,1,28538628,92,0.1162,1.4518,3.3129,0.3643,,,1745,2792
alice,1,28538628,93,0.0973,1.3018,2.5844,0.3608,,,1370,3804
alice,1,28538628,94,0.1043,1.5585,3.5578,0.3573,,,1831,2612
alice,1,28538628,95,0.1381,1.4373,2.327,0.3539,,,1193,4178
alice,1,28538628,96,0.0824,1.4854,2.9051,0.3506,,,1445,3584
alice,1,28538628,97,0.1161,1.4735,3.0762,0.3472,,,1521,3366
alice,1,28538628,98,0.1174,1.5108,3.1242,0.344,,,1561,3221
alice,1,28538628,99,0.1273,1.61,3.3168,0.3407,,,1636,3072
alice,1,28538628,100,0.1376,1.5153,2.9664,0.3376,,,1517,3368
alice,1,28538628,101,0.1044,1.6388,2.9785,0.3344,,,1547,3365
alice,1,28540688,102,0.0766,1.1468,3.1031,0.3313,,,1517,3332
alice,1,28540688,103,0.0719,1.1921,3.4191,0.3282,,,1682,2909
alice,1,28540688,104,0.1126,1.3647,3.3898,0.3252,,,1795,2579
alice,1,28540688,105,0.0954,1.3507,3.0965,0.3222,,,1616,3090
alice,1,28540688,106,0.1013,1.3289,2.8203,0.3193,,,1462,3494
alice,1,28540688,107,0.0903,1.4318,3.0191,0.3164,,,1563,3253
alice,1,28540688,108,0.0921,1.4037,3.3176,0.3135,,,1723,2861
alice,1,28540688,109,0.0822,1.4251,3.3723,0.3107,,,1717,2829
alice,1,28540688,110,0.0886,1.451,3.3312,0.3079,,,1740,2778
alice,1,28540688,111,0.0864,1.4965,3.5602,0.3052,,,1840,2503
alice,1,28540688,112,0.0995,1.5209,3.3848,0.3025,,,1796,2629
alice,1,28540688,113,0.0943,1.5617,3.502,0.2998,,,1827,2538
alice,1,28540688,114,0.0881,1.5395,3.4816,0.2971,,,1802,2613
alice,1,28540688,115,0.1038,1.5921,3.3539,0.2945,,,1740,2772
alice,1,28540688,116,0.1,1.4637,2.8926,0.292,,,1484,3439
alice,1,28540688,117,0.0986,1.6096,3.3863,0.2894,,,1742,2817
alice,1,28540688,118,0.1122,1.6255,3.6141,0.2869,,,1832,2530
alice,1,28540688,119,0.1107,1.6233,3.4973,0.2844,,,1755,2684
alice,1,28540688,120,0.0869,1.6137,3.427,0.282,,,1744,2751
alice,1,28541846,121,0.0933,1.1368,3.6965,0.2796,,,1805,2516
alice,1,28541846,122,0.1176,1.1479,3.6984,0.2772,,,1778,2578
alice,1,28541846,123,0.0729,1.213,2.6309,0.2749,,,1301,3961
alice,1,28541846,124,0.1048,1.3906,3.1023,0.2726,,,1718,2813
alice,1,28541846,125,0.1705,1.3039,3.4293,0.2703,,,1795,2648
alice,1,28541846,126,0.0945,1.432,3.6734,0.268,,,1927,2275
alice,1,28541846,127,0.1174,1.458,3.9074,0.2658,,,2067,1938
alice,1,28541846,128,0.1379,1.4935,3.8035,0.2636,,,2089,1849
alice,1,28541846,129,0.1321,1.5595,3.7703,0.2614,,,2120,1764
alice,1,28541846,130,0.131,1.5415,3.8758,0.2593,,,2141,1707
alice,1,28541846,131,0.1574,1.5129,3.9855,0.2572,,,2147,1665
alice,1,28541846,132,0.1343,1.5783,3.9594,0.2551,,,2141,1718
alice,1,28541846,133,0.1361,1.5713,3.8715,0.2531,,,2134,1748
alice,1,28541846,134,0.1449,1.5175,3.9496,0.251,,,2167,1681
alice,1,28541846,135,0.1328,1.5707,3.8465,0.249,,,2149,1703
alice,1,28541846,136,0.1362,1.5518,3.984,0.2471,,,2145,1744
alice,1,28541846,137,0.1595,1.5506,4.0098,0.2451,,,2160,1643
alice,1,28541846,138,0.139,1.5573,3.9199,0.2432,,,2138,1747
alice,1,28541846,139,0.111,1.6123,3.8199,0.2413,,,2121,1842
alice,1,28541846,140,0.1364,1.5573,4.075,0.2394,,,2179,1636
alice,1,28544529,141,0.1257,0.9684,4.0137,0.2376,,,2011,1959
alice,1,28544529,142,0.1174,1.0948,3.9941,0.2358,,,2000,2029
alice,1,28544529,143,0.1461,1.2369,2.7281,0.234,,,1398,3722
alice,1,28544529,144,0.1128,1.5084,2.891,0.2322,,,1732,2822
alice,1,28544529,145,0.1427,1.3643,3.6645,0.2305,,,1911,2351
alice,1,28544529,146,0.1144,1.3803,3.8148,0.2287,,,1995,2098
alice,1,28544529,147,0.1387,1.3894,3.9277,0.227,,,2045,1976
alice,1,28544529,148,0.1309,1.4421,3.716,0.2253,,,2029,1990
alice,1,28544529,149,0.1481,1.5739,3.7488,0.2237,,,2131,1789
alice,1,28544529,150,0.1314,1.5056,4.002,0.222,,,2155,1664
alice,1,28544529,151,0.1281,1.624,3.818,0.2204,,,2098,1847
alice,1,28544529,152,0.1215,1.5916,3.8898,0.2188,,,2106,1830
alice,1,28544529,153,0.1183,1.6543,3.9027,0.2173,,,2139,1747
alice,1,28544529,154,0.1195,1.6775,3.8563,0.2157,,,2099,1819
alice,1,28544529,155,0.1247,1.6536,3.8805,0.2142,,,2133,1798
alice,1,28544529,156,0.1241,1.7097,3.8699,0.2127,,,2142,1800
alice,1,28544529,157,0.1183,1.7257,3.8395,0.2112,,,2103,1852
alice,1,28544529,158,0.1127,1.7639,3.8023,0.2097,,,2073,1925
alice,1,28544529,159,0.1207,1.727,3.8352,0.2083,,,2100,1867
alice,1,28544529,160,0.1195,1.6317,3.9656,0.2068,,,2130,1800
