agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,1,28556262,0,0.0203,0.3496,5.4908,1.0,,,604,1746,0.047,0.599
alice,1,28556262,1,0.0028,0.2959,5.3769,0.9881,,,537,1535,0.048,0.645
alice,1,28556262,2,-0.0006,0.2692,5.4469,0.9763,,,501,1566,0.044,0.546
alice,1,28556262,3,0.003,0.2849,5.2233,0.9647,,,543,1511,0.049,0.596
alice,1,28556262,4,-0.0009,0.2203,5.1124,0.9533,,,481,1624,0.046,0.564
alice,1,28556262,5,0.004,0.2705,5.3485,0.942,,,534,1535,0.048,0.795
alice,1,28556262,6,0.0013,0.2608,5.4355,0.9309,,,539,1528,0.049,0.527
alice,1,28556262,7,-0.0006,0.2528,5.1842,0.9199,,,517,1526,0.048,0.546
alice,1,28556262,8,0.0018,0.2595,5.2211,0.909,,,531,1524,0.048,0.541
alice,1,28556262,9,0.0054,0.3062,5.3304,0.8983,,,566,1407,0.053,0.662
alice,1,28556262,10,0.0035,0.2555,5.2359,0.8878,,,567,1488,0.05,0.492
alice,1,28556262,11,-0.004,0.2627,5.2461,0.8773,,,524,1493,0.048,0.475
alice,1,28556262,12,0.0021,0.2878,5.1651,0.8671,,,560,1451,0.051,0.695
alice,1,28556262,13,0.0029,0.2497,5.1538,0.8569,,,564,1449,0.05,0.535
alice,1,28556262,14,-0.0007,0.2644,5.0829,0.8469,,,580,1405,0.054,0.646
alice,1,28556262,15,0.0008,0.2728,5.3401,0.837,,,575,1382,0.054,0.611
alice,1,28556262,16,-0.0032,0.2498,4.9698,0.8273,,,571,1419,0.053,0.496
alice,1,28556262,17,-0.0019,0.2871,5.1705,0.8176,,,568,1388,0.051,0.5
alice,1,28556262,18,0.0037,0.2805,5.1822,0.8081,,,588,1388,0.053,0.599
alice,1,28556262,19,0.0007,0.3109,5.1525,0.7988,,,589,1345,0.056,0.563
alice,1,28556262,20,-0.0006,0.2453,5.0,0.7895,,,563,1459,0.053,0.657
alice,1,28556262,21,0.002,0.3285,5.4506,0.7804,,,594,1316,0.055,0.48
alice,1,28556262,22,0.0046,0.2792,5.1713,0.7714,,,590,1387,0.056,0.543
alice,1,28556262,23,-0.0013,0.2725,5.2836,0.7625,,,557,1418,0.052,0.502
alice,1,28556262,24,0.0038,0.2793,5.2429,0.7537,,,574,1432,0.053,0.534
alice,1,28556262,25,0.0043,0.3076,5.0858,0.7451,,,577,1338,0.054,0.737
alice,1,28556262,26,0.0101,0.259,5.0332,0.7366,,,592,1434,0.054,0.79
alice,1,28556262,27,0.0045,0.2807,4.973,0.7281,,,580,1361,0.055,0.44
alice,1,28556262,28,0.0132,0.28,5.1441,0.7198,,,613,1317,0.057,0.499
alice,1,28556262,29,0.0036,0.248,5.1451,0.7116,,,545,1472,0.054,0.724
alice,1,28556262,30,0.0093,0.2773,5.1096,0.7035,,,589,1386,0.055,0.606
alice,1,28556262,31,0.0095,0.2522,5.005,0.6955,,,580,1412,0.052,0.489
alice,1,28556262,32,0.01,0.2562,5.2347,0.6877,,,596,1364,0.056,0.51
alice,1,28556262,33,0.0102,0.2698,5.2079,0.6799,,,605,1319,0.059,0.51
alice,1,28556262,34,0.006,0.302,5.3151,0.6722,,,596,1295,0.058,0.578
alice,1,28556262,35,0.0121,0.3043,5.4196,0.6646,,,590,1316,0.058,0.611
alice,1,28556262,36,0.0146,0.248,4.7944,0.6572,,,622,1367,0.057,0.562
alice,1,28556262,37,0.0067,0.2931,5.229,0.6498,,,588,1295,0.056,0.57
alice,1,28556262,38,0.014,0.2775,5.0044,0.6425,,,619,1337,0.058,0.611
alice,1,28556262,39,0.0126,0.2841,5.1831,0.6353,,,609,1324,0.058,0.534
alice,1,28556262,40,0.0073,0.2734,5.1132,0.6283,,,578,1346,0.058,0.663
alice,1,28556262,41,0.0199,0.2861,5.2237,0.6213,,,610,1310,0.058,0.543
alice,1,28556262,42,0.0137,0.2671,5.0423,0.6144,,,606,1349,0.059,0.57
alice,1,28556262,43,0.0151,0.2516,5.1436,0.6076,,,606,1329,0.056,0.596
alice,1,28556262,44,0.0053,0.2732,5.0714,0.6009,,,593,1328,0.057,0.691
alice,1,28556262,45,0.0117,0.3105,5.1496,0.5942,,,609,1282,0.059,0.519
alice,1,28556262,46,0.0156,0.2763,4.9301,0.5877,,,621,1329,0.059,0.502
alice,1,28556262,47,0.0124,0.2931,5.2377,0.5812,,,580,1321,0.058,0.528
alice,1,28556262,48,0.0212,0.3165,5.2869,0.5749,,,614,1289,0.062,0.722
alice,1,28556262,49,0.02,0.2953,4.9024,0.5686,,,624,1290,0.058,0.558
alice,1,28556262,50,0.0265,0.2668,5.1714,0.5624,,,631,1304,0.062,0.647
alice,1,28556262,51,0.0153,0.2973,5.0889,0.5563,,,608,1262,0.063,0.573
alice,1,28556262,52,0.0112,0.2832,4.9191,0.5502,,,606,1331,0.061,0.628
alice,1,28556262,53,0.0136,0.268,5.108,0.5443,,,586,1375,0.057,0.749
alice,1,28556262,54,0.0173,0.2957,5.2555,0.5384,,,607,1309,0.059,0.621
alice,1,28556262,55,0.0155,0.2919,5.1034,0.5326,,,619,1304,0.061,0.549
alice,1,28556262,56,0.0114,0.2799,4.9955,0.5269,,,592,1345,0.058,0.583
alice,1,28556262,57,0.0163,0.2996,5.1991,0.5212,,,580,1356,0.058,0.506
alice,1,28556262,58,0.0168,0.2477,4.8455,0.5156,,,611,1404,0.058,0.605
alice,1,28556262,59,0.0144,0.2601,5.1707,0.5101,,,622,1292,0.064,0.609
alice,1,28556262,60,0.0078,0.2737,5.0909,0.5047,,,608,1288,0.062,0.561
alice,1,28556262,61,0.0116,0.2892,4.9786,0.4994,,,613,1274,0.063,0.842
alice,1,28556262,62,0.014,0.2532,4.9384,0.4941,,,616,1355,0.06,0.696
alice,1,28556262,63,0.0075,0.2901,5.3649,0.4889,,,575,1313,0.059,0.583
alice,1,28556262,64,0.0219,0.2975,5.0625,0.4837,,,653,1246,0.065,0.658
alice,1,28556262,65,0.0102,0.2822,5.0872,0.4786,,,613,1297,0.063,0.758
alice,1,28556262,66,0.0122,0.2588,4.9286,0.4736,,,595,1314,0.062,0.537
alice,1,28556262,67,0.0155,0.2832,5.13,0.4687,,,625,1303,0.063,0.885
alice,1,28556262,68,0.013,0.2523,5.0,0.4638,,,620,1304,0.062,0.671
alice,1,28556262,69,0.0098,0.2881,5.1553,0.459,,,599,1280,0.062,0.571
alice,1,28556262,70,0.0178,0.2898,5.1068,0.4542,,,627,1262,0.062,0.577
alice,1,28556262,71,0.0131,0.2864,5.1556,0.4496,,,616,1296,0.061,0.623
alice,1,28556262,72,0.0164,0.2789,4.9356,0.4449,,,651,1240,0.065,0.57
alice,1,28556262,73,0.0108,0.2949,5.0043,0.4404,,,627,1240,0.064,0.647
alice,1,28556262,74,0.0141,0.3152,4.9919,0.4359,,,618,1256,0.063,0.566
alice,1,28556262,75,0.0185,0.3115,4.9529,0.4314,,,640,1260,0.062,0.794
alice,1,28556262,76,0.0171,0.2872,5.0969,0.427,,,615,1292,0.06,0.624
alice,1,28556262,77,0.0216,0.2889,4.9494,0.4227,,,643,1242,0.063,0.751
alice,1,28556262,78,0.0146,0.2981,4.9241,0.4184,,,639,1248,0.065,0.625
alice,1,28556262,79,0.0156,0.2849,5.0541,0.4142,,,628,1242,0.063,0.557
alice,1,28556262,80,0.0156,0.306,5.0913,0.4101,,,623,1250,0.065,0.712
alice,1,28556262,81,0.0182,0.3169,5.2083,0.406,,,642,1219,0.066,0.565
alice,1,28556262,82,0.0107,0.307,5.1489,0.4019,,,621,1272,0.062,0.626
alice,1,28556262,83,0.017,0.2753,4.9554,0.3979,,,624,1279,0.065,0.723
alice,1,28556262,84,0.018,0.3281,5.063,0.394,,,647,1187,0.068,0.576
alice,1,28556262,85,0.0103,0.3122,4.9144,0.3901,,,616,1277,0.061,0.663
alice,1,28556262,86,0.0258,0.3354,5.2192,0.3863,,,660,1200,0.066,0.528
alice,1,28556262,87,0.0186,0.2848,4.9052,0.3825,,,641,1238,0.064,0.701
alice,1,28556262,88,0.014,0.2839,4.7542,0.3787,,,636,1240,0.064,0.603
alice,1,28556262,89,0.0167,0.3311,4.9695,0.375,,,671,1171,0.069,0.574
