agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,0,28550193,0,0.0198,0.3806,5.4733,1.0,,,2499,6803,0.049,0.7
alice,0,28550193,1,0.0018,0.282,5.3268,0.9881,,,2155,6106,0.048,0.637
alice,0,28550193,2,-0.0007,0.2605,5.3027,0.9763,,,2132,6080,0.048,0.656
alice,0,28550193,3,-0.0026,0.2418,5.3526,0.9647,,,2038,6241,0.047,0.626
alice,0,28550193,4,0.0003,0.2599,5.4681,0.9533,,,2056,6171,0.047,0.755
alice,0,28550193,5,0.0008,0.263,5.4696,0.942,,,2100,6175,0.048,0.761
alice,0,28550193,6,-0.0001,0.2515,5.278,0.9309,,,2094,6153,0.047,0.684
alice,0,28550193,7,-0.0014,0.2478,5.2738,0.9199,,,2067,6227,0.046,0.623
alice,0,28550193,8,0.0022,0.2778,5.377,0.909,,,2151,5984,0.048,0.606
alice,0,28550193,9,0.0036,0.2693,5.3304,0.8983,,,2208,5876,0.051,0.741
alice,0,28550193,10,-0.0002,0.2495,5.1395,0.8878,,,2121,6037,0.049,0.676
alice,0,28550193,11,0.0038,0.2763,5.2443,0.8773,,,2249,5788,0.053,0.715
alice,0,28550193,12,0.0005,0.2543,5.2726,0.8671,,,2199,5921,0.05,0.713
alice,0,28550193,13,-0.0008,0.2522,5.2437,0.8569,,,2208,5859,0.051,0.798
alice,0,28550193,14,-0.0013,0.2745,5.1793,0.8469,,,2237,5709,0.052,0.611
alice,0,28550193,15,-0.0,0.2625,5.244,0.837,,,2222,5840,0.051,0.676
alice,0,28550193,16,0.0024,0.2792,5.2277,0.8273,,,2238,5668,0.053,0.692
alice,0,28550193,17,0.0022,0.2709,5.1983,0.8176,,,2290,5698,0.053,0.602
alice,0,28550193,18,0.0013,0.2685,5.2315,0.8081,,,0,0,,
alice,1,28550198,0,0.0225,0.3464,5.4667,1.0,,,624,1721,0.05,0.662
alice,1,28550198,1,0.0017,0.2646,5.2732,0.9881,,,534,1513,0.05,0.56
alice,1,28550198,2,0.0027,0.2907,5.1043,0.9763,,,585,1408,0.053,0.572
alice,1,28550198,3,-0.0024,0.2523,5.1955,0.9647,,,554,1462,0.05,0.557
alice,1,28550198,4,-0.0031,0.2607,5.3842,0.9533,,,539,1461,0.049,0.669
alice,1,28550198,5,0.0,0.2635,5.3568,0.942,,,549,1455,0.051,0.569
alice,1,28550198,6,0.0025,0.3146,5.4393,0.9309,,,594,1348,0.053,0.54
alice,1,28550198,7,-0.0032,0.2553,5.1489,0.9199,,,540,1456,0.05,0.636
alice,1,28550198,8,0.001,0.2637,5.3684,0.909,,,560,1463,0.052,0.484
alice,1,28550198,9,-0.0018,0.2787,5.2574,0.8983,,,541,1456,0.048,0.529
alice,1,28550198,10,0.0046,0.3005,5.2545,0.8878,,,581,1380,0.055,0.743
alice,1,28550198,11,0.0024,0.2513,5.2432,0.8773,,,550,1457,0.051,0.503
alice,1,28550198,12,0.0019,0.2781,5.2356,0.8671,,,562,1419,0.051,0.501
alice,1,28550198,13,0.0009,0.2888,5.378,0.8569,,,586,1402,0.054,0.668
alice,1,28550198,14,-0.0048,0.288,5.1315,0.8469,,,564,1392,0.054,0.559
alice,1,28550198,15,0.0057,0.2627,4.8356,0.837,,,604,1395,0.053,0.584
alice,1,28550198,16,-0.0013,0.2843,5.3431,0.8273,,,569,1355,0.054,0.469
alice,1,28550198,17,0.001,0.2827,5.3095,0.8176,,,560,1427,0.051,0.555
alice,1,28550198,18,0.0049,0.2712,4.9367,0.8081,,,592,1389,0.052,0.581
alice,1,28550198,19,0.0029,0.3236,5.2254,0.7988,,,616,1292,0.057,0.474
alice,1,28550198,20,0.0043,0.3041,5.2788,0.7895,,,613,1313,0.056,0.675
alice,1,28550198,21,0.001,0.2495,5.1031,0.7804,,,581,1396,0.053,0.551
alice,1,28550198,22,0.0008,0.2504,5.1053,0.7714,,,580,1384,0.052,0.689
alice,1,28550198,23,0.0091,0.2828,5.1682,0.7625,,,601,1304,0.057,0.63
alice,1,28550198,24,0.007,0.2939,5.0217,0.7537,,,593,1323,0.056,0.62
alice,1,28550198,25,0.0118,0.2777,5.3495,0.7451,,,585,1397,0.054,0.717
alice,1,28550198,26,0.0083,0.3026,5.2237,0.7366,,,606,1295,0.057,0.555
alice,1,28550198,27,0.0068,0.3278,5.3361,0.7281,,,611,1290,0.057,0.57
alice,1,28550198,28,0.0108,0.2651,5.0613,0.7198,,,596,1375,0.056,0.788
alice,1,28550198,29,0.0066,0.2617,4.8108,0.7116,,,590,1372,0.053,0.627
alice,1,28550198,30,0.0136,0.269,5.0698,0.7035,,,605,1358,0.055,0.588
alice,1,28550198,31,0.0121,0.2877,5.0411,0.6955,,,606,1297,0.056,0.539
alice,1,28550198,32,0.0038,0.314,4.92,0.6877,,,602,1299,0.057,0.538
