agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,0,28556261,0,0.0202,0.3166,5.0809,1.0,,,307,890,0.045,0.504
alice,0,28556261,1,0.0015,0.3253,5.3551,0.9881,,,278,725,0.051,0.803
alice,0,28556261,2,-0.0022,0.2791,5.4149,0.9763,,,245,788,0.047,0.547
alice,0,28556261,3,0.0089,0.359,5.4309,0.9647,,,307,682,0.055,0.47
alice,0,28556261,4,-0.001,0.259,5.2935,0.9533,,,273,734,0.05,0.521
alice,0,28556261,5,0.0041,0.3049,5.2661,0.942,,,277,698,0.051,0.494
alice,0,28556261,6,0.0062,0.3169,5.3103,0.9309,,,285,708,0.052,0.504
alice,0,28556261,7,0.0051,0.3563,5.5868,0.9199,,,305,665,0.057,0.502
alice,0,28556261,8,-0.0042,0.252,5.0632,0.909,,,267,749,0.048,0.593
alice,0,28556261,9,0.0054,0.2909,5.0541,0.8983,,,289,696,0.054,0.557
alice,0,28556261,10,-0.002,0.2276,5.1954,0.8878,,,267,762,0.048,0.671
alice,0,28556261,11,-0.0018,0.3119,5.042,0.8773,,,297,684,0.055,0.63
alice,0,28556261,12,0.0037,0.3216,5.0323,0.8671,,,312,648,0.055,0.467
alice,0,28556261,13,0.0002,0.2356,5.1111,0.8569,,,269,731,0.052,0.526
alice,0,28556261,14,0.0003,0.3081,5.0924,0.8469,,,304,674,0.055,0.557
alice,0,28556261,15,0.0005,0.3126,5.1316,0.837,,,315,640,0.057,0.612
alice,0,28556261,16,-0.0054,0.2736,5.0686,0.8273,,,302,663,0.058,0.511
alice,0,28556261,17,-0.0007,0.2796,5.0865,0.8176,,,277,683,0.054,0.451
alice,0,28556261,18,0.0042,0.2711,4.8929,0.8081,,,292,707,0.053,0.742
alice,0,28556261,19,0.0011,0.2588,5.3402,0.7988,,,286,721,0.052,0.632
alice,0,28556261,20,0.0022,0.2976,5.5238,0.7895,,,289,677,0.056,0.528
alice,0,28556261,21,0.0034,0.2698,5.2308,0.7804,,,303,673,0.056,0.553
alice,0,28556261,22,-0.0021,0.2813,5.0952,0.7714,,,295,670,0.058,0.655
alice,0,28556261,23,0.0033,0.3284,5.4017,0.7625,,,313,632,0.056,0.469
alice,0,28556261,24,-0.0008,0.3295,5.1532,0.7537,,,302,642,0.059,0.473
alice,0,28556261,25,0.002,0.2677,5.037,0.7451,,,277,713,0.053,0.579
alice,0,28556261,26,0.0104,0.2931,5.2105,0.7366,,,302,703,0.054,0.564
alice,0,28556261,27,0.0052,0.273,5.1346,0.7281,,,295,676,0.054,0.4
alice,0,28556261,28,-0.0028,0.2757,5.2308,0.7198,,,293,678,0.054,0.563
alice,0,28556261,29,0.0038,0.3222,5.2672,0.7116,,,302,644,0.057,0.485
alice,0,28556261,30,0.001,0.2767,5.009,0.7035,,,295,701,0.053,0.499
alice,0,28556261,31,0.0009,0.2948,5.0796,0.6955,,,281,687,0.055,0.453
alice,0,28556261,32,0.0085,0.2612,4.625,0.6877,,,319,675,0.057,0.468
alice,0,28556261,33,0.004,0.282,4.7607,0.6799,,,326,622,0.06,0.527
alice,0,28556261,34,0.006,0.3214,5.181,0.6722,,,301,621,0.058,0.529
alice,0,28556261,35,0.0083,0.2634,5.0566,0.6646,,,301,693,0.056,0.457
alice,0,28556261,36,0.0074,0.3131,5.181,0.6572,,,312,635,0.058,0.478
