agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z,ik_fail_rate,not_moved_frac
alice,0,28830260,49,0.0271,0.2836,3.3981,0.5446,,,,251,829,0.07,1.11,0.012,0.029,0.7472222222222222
alice,0,28830260,50,0.0163,0.2891,3.5979,0.5381,,,,218,819,0.064,1.003,0.012,0.032,0.7647058823529411
alice,0,28830260,51,0.0182,0.2687,3.1635,0.5316,,,,231,838,0.065,1.309,0.013,0.037,0.7670720299345183
alice,0,28830260,52,0.0151,0.2811,3.6354,0.5252,,,,242,818,0.067,1.349,0.012,0.033,0.7471698113207547
alice,0,28830260,53,0.0151,0.2822,3.798,0.519,,,,245,787,0.07,1.17,0.013,0.03,0.7461240310077519
alice,0,28830260,54,0.0143,0.2556,3.5275,0.5127,,,,243,823,0.066,1.22,0.013,0.035,0.7401500938086304
alice,0,28830260,55,0.017,0.3066,3.375,0.5066,,,,246,779,0.071,1.093,0.013,0.034,0.7317073170731707
alice,0,28830260,56,0.0132,0.304,3.6071,0.5006,,,,229,813,0.066,0.988,0.012,0.032,0.7504798464491362
alice,0,28830260,57,0.0249,0.3575,4.0403,0.4946,,,,284,708,0.087,1.446,0.013,0.033,0.6945564516129032
alice,0,28830260,58,0.0153,0.285,3.6875,0.4887,,,,250,777,0.071,1.256,0.013,0.028,0.7322297955209348
alice,0,28830260,59,0.0237,0.3008,3.9053,0.4829,,,,274,734,0.084,1.154,0.013,0.027,0.7023809523809523
alice,0,28830260,60,0.0118,0.3082,3.0566,0.4772,,,,259,736,0.081,0.889,0.012,0.037,0.7065326633165829
alice,0,28830260,61,0.0163,0.3633,3.8667,0.4716,,,,260,715,0.08,0.959,0.013,0.028,0.7097435897435898
alice,0,28830260,62,0.0196,0.3374,3.8136,0.466,,,,279,736,0.084,1.017,0.014,0.036,0.7004926108374384
alice,0,28830260,63,0.0179,0.3055,2.8611,0.4605,,,,262,727,0.08,1.18,0.013,0.031,0.7017189079878665
alice,0,28830260,64,0.0193,0.3176,3.9238,0.455,,,,265,715,0.083,1.014,0.013,0.029,0.7020408163265306
alice,0,28830260,65,0.0216,0.3261,3.7965,0.4497,,,,275,722,0.088,1.464,0.013,0.031,0.6930792377131394
alice,0,28830260,66,0.015,0.3069,4.0476,0.4444,,,,253,762,0.077,1.173,0.013,0.03,0.7192118226600985
alice,0,28830260,67,0.0184,0.3432,3.5932,0.4392,,,,262,731,0.081,1.513,0.014,0.03,0.7049345417925479
alice,0,28830260,68,0.0263,0.3774,3.9141,0.434,,,,289,688,0.094,1.074,0.013,0.036,0.6806550665301945
alice,0,28830260,69,0.0195,0.3281,3.8455,0.4289,,,,269,728,0.075,1.302,0.012,0.032,0.7011033099297894
alice,0,28830260,70,0.024,0.3548,3.775,0.4239,,,,275,689,0.086,1.232,0.013,0.029,0.6815352697095436
alice,0,28830260,71,0.0338,0.3677,3.0827,0.419,,,,313,638,0.096,1.155,0.013,0.034,0.6393270241850684
alice,0,28830260,72,0.0159,0.3317,3.3611,0.4141,,,,257,706,0.082,0.946,0.013,0.034,0.7040498442367601
alice,0,28830260,73,0.0289,0.3419,3.6207,0.4093,,,,304,678,0.095,1.135,0.013,0.032,0.6588594704684317
alice,0,28830260,74,0.0236,0.3395,4.1515,0.4045,,,,278,681,0.093,1.066,0.014,0.032,0.6819603753910324
alice,0,28830260,75,0.0247,0.4047,3.7153,0.3998,,,,267,667,0.085,1.129,0.013,0.03,0.6884368308351178
alice,0,28830260,76,0.028,0.4192,3.875,0.3952,,,,300,648,0.101,1.136,0.013,0.042,0.6508438818565401
alice,0,28830260,77,0.0245,0.3823,3.6642,0.3906,,,,287,670,0.1,1.265,0.013,0.038,0.6624869383490073
alice,0,28830260,78,0.0253,0.3702,3.6797,0.3861,,,,299,656,0.093,1.124,0.013,0.033,0.6638743455497382
alice,0,28830260,79,0.0199,0.3646,3.626,0.3817,,,,276,677,0.09,1.178,0.014,0.032,0.6789087093389297
alice,0,28830260,80,0.0281,0.4237,3.7687,0.3773,,,,304,629,0.097,1.262,0.013,0.034,0.6420150053590568
alice,0,28830260,81,0.0237,0.3757,3.5873,0.373,,,,290,649,0.094,1.348,0.014,0.041,0.6719914802981896
alice,0,28830260,82,0.0274,0.3958,3.9206,0.3687,,,,291,645,0.096,1.128,0.013,0.031,0.6623931623931624
alice,0,28830260,83,0.028,0.3904,3.5564,0.3645,,,,302,655,0.099,1.455,0.014,0.029,0.6572622779519331
alice,0,28830260,84,0.0273,0.4136,4.1008,0.3603,,,,290,617,0.1,1.407,0.013,0.029,0.649393605292172
alice,0,28830260,85,0.0239,0.3912,3.8797,0.3562,,,,289,656,0.093,1.103,0.013,0.032,0.6624338624338625
alice,0,28830260,86,0.0251,0.3386,3.9558,0.3522,,,,276,703,0.086,1.289,0.014,0.037,0.6823289070480082
alice,0,28830260,87,0.033,0.3733,3.552,0.3482,,,,313,623,0.103,1.343,0.013,0.033,0.6324786324786325
alice,0,28830260,88,0.0256,0.4248,2.9732,0.3442,,,,303,600,0.102,1.28,0.013,0.029,0.646733111849391
alice,0,28830260,89,0.0302,0.4215,3.9091,0.3403,,,,303,594,0.098,1.217,0.013,0.034,0.6287625418060201
alice,0,28830260,90,0.0377,0.4268,3.9028,0.3365,,,,312,602,0.104,1.279,0.013,0.032,0.6301969365426696
alice,0,28830260,91,0.0387,0.4316,3.9209,0.3327,,,,326,584,0.105,1.204,0.014,0.033,0.6142857142857143
alice,0,28830260,92,0.023,0.4066,3.5846,0.3289,,,,292,634,0.095,0.958,0.013,0.032,0.6511879049676026
alice,0,28830260,93,0.0352,0.4301,3.4694,0.3253,,,,319,576,0.112,1.373,0.013,0.033,0.6189944134078212
alice,0,28830260,94,0.0334,0.4081,3.6797,0.3216,,,,331,573,0.115,1.416,0.013,0.035,0.5995575221238938
alice,0,28830260,95,0.0276,0.4087,4.1858,0.318,,,,315,577,0.113,1.253,0.013,0.03,0.6121076233183856
alice,0,28830260,96,0.0325,0.4278,3.8397,0.3145,,,,317,569,0.121,1.127,0.013,0.029,0.6094808126410836
alice,0,28830260,97,0.0357,0.4512,3.36,0.311,,,,324,527,0.118,1.085,0.014,0.037,0.5851938895417156
alice,0,28830260,98,0.0456,0.4598,3.4733,0.3075,,,,340,527,0.122,1.237,0.013,0.04,0.5767012687427913
alice,0,28830260,99,0.0351,0.4516,3.0959,0.3041,,,,335,529,0.12,1.151,0.014,0.033,0.5821759259259259
alice,0,28830260,100,0.0295,0.4558,3.637,0.3008,,,,329,541,0.112,1.019,0.013,0.034,0.5827586206896552
alice,0,28830260,101,0.0303,0.4674,3.7234,0.2974,,,,324,547,0.119,1.123,0.014,0.037,0.5970149253731343
alice,0,28830260,102,0.0373,0.4523,3.4196,0.2942,,,,344,527,0.119,1.048,0.013,0.034,0.5752009184845006
alice,0,28830260,103,0.0498,0.4722,3.5827,0.2909,,,,345,486,0.132,1.336,0.013,0.042,0.5535499398315282
alice,0,28830260,104,0.0294,0.5169,3.35,0.2877,,,,358,460,0.139,1.192,0.013,0.032,0.5171149144254279
alice,0,28830260,105,0.0508,0.5476,3.5155,0.2846,,,,378,400,0.158,1.166,0.014,0.034,0.47429305912596403
alice,0,28830260,106,0.0405,0.4813,3.3655,0.2815,,,,347,443,0.139,0.896,0.014,0.033,0.5227848101265823
alice,0,28830260,107,0.0438,0.5137,3.4875,0.2784,,,,361,449,0.135,1.235,0.015,0.027,0.508641975308642
alice,0,28830260,108,0.0328,0.4692,3.5137,0.2754,,,,343,488,0.128,1.076,0.014,0.036,0.5367027677496992
alice,0,28830260,109,0.0451,0.5001,3.7647,0.2724,,,,358,457,0.138,1.242,0.014,0.034,0.5312883435582823
alice,0,28830260,110,0.034,0.5081,3.9863,0.2695,,,,348,474,0.137,1.03,0.014,0.036,0.5389294403892944
alice,0,28830260,111,0.06,0.5351,3.1429,0.2666,,,,376,421,0.15,1.481,0.015,0.03,0.4868255959849435
