#{"t_start": 1764779049.909711, "env_id": "None"}
r,l,t
-60.0,1,1909.814376
-60.0,1,1920.723917
-60.0,1,1928.602027
-60.0,1,1935.95893
-60.0,1,1947.020799
-60.0,1,1953.318141
-60.0,1,1964.491771
-61.381551,1,1975.38369
-60.0,1,1986.331282
-60.0,1,1996.818252
-60.0,1,2004.748821
-51.36349,1,2015.842484
-60.0,1,2023.140741
-60.0,1,2033.998856
-60.0,1,2041.302263
-60.0,1,2052.125745
-60.0,1,2063.208559
-60.0,1,2074.199058
-60.0,1,2082.019295
-60.04987,1,2092.876086
-60.0,1,2099.866582
-60.0,1,2110.965576
-60.0,1,2117.820683
-60.0,1,2128.890772
-60.0,1,2135.854837
-60.0,1,2146.856751
-60.0,1,2153.91321
-60.0,1,2161.157666
-60.0,1,2169.190145
-60.0,1,2180.045646
-52.781551,1,2190.848618
-60.0,1,2198.957582
-60.0,1,2209.857344
-60.0,1,2220.674004
-60.0,1,2231.833698
-60.0,1,2239.799172
-60.0,1,2250.95704
-60.0,1,2261.844155
-60.101889,1,2268.139198
-60.04778,1,2274.265784
-60.0,1,2285.966999
-60.0,1,2297.074376
-60.0,1,2307.963976
-60.0,1,2318.835657
-60.0,1,2329.755533
-60.0,1,2340.572861
-60.0,1,2351.498597
-60.0,1,2362.23952
-60.0,1,2373.163468
-60.0,1,2381.047339
-60.0,1,2392.047512
-60.0,1,2398.1478
-60.114716,1,2404.18486
-60.136231,1,2410.145023
-60.005371,1,2421.02057
-60.0,1,2431.720306
-60.0,1,2442.579378
-60.097794,1,2450.881185
-60.0,1,2461.777223
-60.0,1,2472.555956
-27.376774,1,2478.928607
-60.0,1,2489.667531
-60.228468,1,2495.784718
-60.0,1,2506.43521
-60.0,1,2512.482529
-60.0,1,2520.285965
-60.0,1,2531.166332
-60.108156,1,2538.915026
-60.0,1,2549.967679
-60.0,1,2560.805732
-60.0,1,2566.977866
-52.781551,1,2577.92529
-60.0,1,2588.80668
-60.0,1,2599.591449
-60.049026,1,2605.757129
-60.0,1,2616.673615
-60.0,1,2627.595943
-60.0,1,2638.40001
-60.0,1,2649.359228
-60.0,1,2660.170904
-60.0,1,2668.080559
-60.0,1,2679.102252
-60.065648,1,2685.16001
-60.109281,1,2695.725404
-60.0,1,2702.492658
-60.0,1,2713.097032
-60.0,1,2723.873387
-60.0,1,2733.388335
-60.0,1,2744.266779
-60.0,1,2751.109987
-60.0,1,2758.650738
-60.0,1,2769.440473
-60.048376,1,2775.565546
-60.0,1,2786.304435
-60.0,1,2793.514305
-60.0,1,2804.407157
-60.0,1,2815.264771
