agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,3,28556266,0,0.0113,0.3208,5.5756,1.0,,,2210,7519,0.044,0.662
alice,3,28556266,1,0.0057,0.3209,5.4798,0.9881,,,2345,5810,0.054,0.791
alice,3,28556266,2,0.0004,0.3132,5.3164,0.9763,,,2329,5477,0.054,0.613
alice,3,28556266,3,-0.001,0.2964,5.2639,0.9647,,,2299,5549,0.053,0.618
alice,3,28556266,4,-0.0003,0.2731,5.3276,0.9533,,,2262,5618,0.053,0.668
alice,3,28556266,5,-0.0014,0.2819,5.3257,0.942,,,2240,5668,0.052,0.757
alice,3,28556266,6,0.0012,0.283,5.2604,0.9309,,,2280,5610,0.054,0.661
alice,3,28556266,7,0.0004,0.2785,5.2362,0.9199,,,2280,5648,0.052,0.602
alice,3,28556266,8,0.0004,0.2825,5.2424,0.909,,,2323,5568,0.055,0.659
alice,3,28556266,9,-0.0002,0.3043,5.2134,0.8983,,,2341,5411,0.054,0.629
alice,3,28556266,10,0.0008,0.2789,5.1922,0.8878,,,2294,5558,0.053,0.599
alice,3,28556266,11,-0.0001,0.2884,5.2204,0.8773,,,2321,5543,0.054,0.576
alice,3,28556266,12,0.0006,0.2875,5.1521,0.8671,,,2329,5512,0.054,0.608
alice,3,28556266,13,0.0029,0.2878,5.227,0.8569,,,2371,5402,0.055,0.709
alice,3,28556266,14,0.0003,0.2842,5.1671,0.8469,,,2364,5430,0.054,0.735
alice,3,28556266,15,0.0005,0.289,5.1561,0.837,,,2351,5414,0.055,0.688
alice,3,28556266,16,0.0012,0.2685,5.1916,0.8273,,,2335,5533,0.054,0.639
alice,3,28556266,17,0.0006,0.2876,5.0752,0.8176,,,2442,5285,0.056,0.652
alice,3,28556266,18,-0.0022,0.2999,5.1116,0.8081,,,2366,5280,0.056,0.551
alice,3,28556266,19,0.0022,0.2782,5.0541,0.7988,,,2391,5457,0.056,0.644
alice,3,28556266,20,0.0003,0.2982,5.1289,0.7895,,,2412,5300,0.056,0.616
alice,3,28556266,21,-0.0022,0.2774,5.1732,0.7804,,,2308,5526,0.054,0.615
alice,3,28556266,22,0.0028,0.3006,5.1533,0.7714,,,2436,5312,0.056,0.664
alice,3,28556266,23,0.0016,0.2767,5.1838,0.7625,,,2381,5379,0.056,0.656
alice,3,28556266,24,0.0008,0.2675,5.1797,0.7537,,,2387,5391,0.055,0.649
alice,3,28556266,25,-0.0018,0.2895,5.1363,0.7451,,,2349,5304,0.055,0.642
alice,3,28556266,26,0.0055,0.2963,5.1479,0.7366,,,2459,5248,0.057,0.646
alice,3,28556266,27,0.0033,0.2964,5.1329,0.7281,,,2478,5180,0.058,0.585
alice,3,28556266,28,0.0021,0.2916,4.9383,0.7198,,,2468,5150,0.057,0.634
alice,3,28556266,29,0.0045,0.3223,5.1648,0.7116,,,2479,4998,0.059,0.789
alice,3,28556266,30,0.0063,0.3042,5.081,0.7035,,,2469,5212,0.057,0.632
alice,3,28556266,31,0.0054,0.2988,5.1182,0.6955,,,2441,5220,0.055,0.669
alice,3,28556266,32,0.0102,0.2954,5.0042,0.6877,,,2552,5096,0.059,0.664
alice,3,28556266,33,0.0047,0.2739,4.9699,0.6799,,,2440,5187,0.057,0.546
alice,3,28556266,34,0.0077,0.2837,5.0089,0.6722,,,2485,5169,0.057,0.696
alice,3,28556266,35,0.0096,0.2903,5.0536,0.6646,,,2500,5091,0.058,0.7
alice,3,28556266,36,0.0051,0.302,5.0532,0.6572,,,2446,5115,0.057,0.669
alice,3,28556266,37,0.0113,0.3172,5.1025,0.6498,,,2575,4963,0.06,0.597
alice,3,28556266,38,0.0114,0.3161,5.0736,0.6425,,,2525,4948,0.059,0.603
alice,3,28556266,39,0.0131,0.3087,5.0133,0.6353,,,2574,4922,0.061,0.635
alice,3,28556266,40,0.0128,0.3062,5.0763,0.6283,,,2580,4883,0.062,0.603
alice,3,28556266,41,0.0102,0.3054,5.1391,0.6213,,,2513,4971,0.061,0.602
alice,3,28556266,42,0.016,0.3037,4.9979,0.6144,,,2579,4889,0.062,0.665
alice,3,28556266,43,0.0102,0.3167,5.0748,0.6076,,,2499,4928,0.06,0.653
alice,3,28556266,44,0.0162,0.3079,4.9949,0.6009,,,2580,4961,0.06,0.62
alice,3,28556266,45,0.017,0.3035,5.1109,0.5942,,,2537,4944,0.06,0.524
alice,3,28556266,46,0.0162,0.2829,4.956,0.5877,,,2564,4993,0.061,0.689
alice,3,28556266,47,0.0114,0.3093,5.0083,0.5812,,,2555,4810,0.062,0.669
alice,3,28556266,48,0.0162,0.3083,5.0155,0.5749,,,2584,4877,0.062,0.601
