agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,2,28580936,0,0.0249,0.4315,5.3758,1.0,,,1668,4064,0.052,0.784
alice,2,28580936,1,0.0032,0.3848,5.3704,0.9881,,,1501,3386,0.056,0.582
alice,2,28580936,2,0.0012,0.3734,5.2255,0.9763,,,1537,3260,0.057,0.667
alice,2,28580936,3,-0.0014,0.3997,5.1675,0.9647,,,1496,3181,0.059,0.66
alice,2,28580936,4,0.0036,0.3586,5.3469,0.9533,,,1505,3339,0.057,0.666
alice,2,28580936,5,0.0029,0.3684,5.2704,0.942,,,1536,3181,0.059,0.85
alice,2,28580936,6,0.0017,0.3588,5.2376,0.9309,,,1516,3237,0.057,0.716
alice,2,28580936,7,0.0006,0.3501,5.1101,0.9199,,,1493,3311,0.056,0.695
alice,2,28580936,8,0.0044,0.3792,5.2446,0.909,,,1524,3188,0.058,0.685
alice,2,28580936,9,0.0033,0.3637,5.2727,0.8983,,,1553,3259,0.058,0.733
alice,2,28580936,10,-0.0007,0.3781,5.2287,0.8878,,,1538,3165,0.059,0.798
alice,2,28580936,11,0.0022,0.4015,5.3915,0.8773,,,1537,3117,0.06,0.697
alice,2,28580936,12,0.0042,0.3662,5.0677,0.8671,,,1562,3209,0.058,0.872
alice,2,28580936,13,0.0005,0.3829,5.2167,0.8569,,,1504,3211,0.057,0.716
alice,2,28580936,14,0.0097,0.3849,5.2695,0.8469,,,1640,3079,0.063,0.779
alice,2,28580936,15,0.0023,0.39,5.2348,0.837,,,1587,3033,0.062,0.759
alice,2,28580936,16,0.0067,0.4293,5.3647,0.8273,,,1583,2915,0.064,0.678
alice,2,28580936,17,0.0108,0.4025,5.2491,0.8176,,,1615,3055,0.061,0.669
alice,2,28580936,18,0.0106,0.3936,5.2402,0.8081,,,1610,2995,0.063,0.735
alice,2,28580936,19,0.0101,0.3962,5.2964,0.7988,,,1595,3010,0.062,0.553
alice,2,28580936,20,0.0171,0.4156,5.2884,0.7895,,,1662,2899,0.067,0.767
alice,2,28580936,21,0.0118,0.431,5.3322,0.7804,,,1651,2807,0.068,0.75
alice,2,28580936,22,0.0152,0.41,5.2195,0.7714,,,1646,2893,0.067,0.725
alice,2,28580936,23,0.0138,0.4346,5.1811,0.7625,,,1701,2757,0.07,0.819
alice,2,28580936,24,0.0143,0.444,5.2691,0.7537,,,1686,2725,0.069,0.769
alice,2,28580936,25,0.0154,0.4327,5.2592,0.7451,,,1731,2705,0.071,0.694
alice,2,28580936,26,0.0111,0.4332,5.1071,0.7366,,,1727,2693,0.072,0.802
alice,2,28580936,27,0.016,0.4646,5.2952,0.7281,,,1768,2583,0.076,0.709
alice,2,28580936,28,0.0149,0.4859,5.3271,0.7198,,,1742,2492,0.076,0.723
alice,2,28580936,29,0.0171,0.4649,5.3094,0.7116,,,1725,2607,0.075,0.676
alice,2,28580936,30,0.0156,0.4644,5.2074,0.7035,,,1757,2633,0.074,0.926
alice,2,28580936,31,0.0157,0.4691,5.2414,0.6955,,,1738,2602,0.074,0.7
alice,2,28580936,32,0.0198,0.4763,5.19,0.6877,,,1801,2474,0.078,0.7
alice,2,28580936,33,0.0197,0.4677,5.1385,0.6799,,,1812,2465,0.08,0.764
alice,2,28580936,34,0.0164,0.4772,5.1861,0.6722,,,1805,2445,0.081,0.765
alice,2,28580936,35,0.0208,0.4963,5.2955,0.6646,,,1812,2369,0.081,0.781
alice,2,28580936,36,0.0235,0.4951,5.1953,0.6572,,,1857,2322,0.083,0.701
alice,2,28580936,37,0.0251,0.5015,5.2578,0.6498,,,1867,2308,0.084,0.796
alice,2,28580936,38,0.0213,0.5323,5.1819,0.6425,,,1884,2149,0.089,0.753
alice,2,28580936,39,0.0316,0.5295,5.1604,0.6353,,,1950,2143,0.093,0.678
alice,2,28580936,40,0.0235,0.5566,5.1764,0.6283,,,1942,2012,0.094,0.742
alice,2,28580936,41,0.0358,0.5569,5.2469,0.6213,,,2035,1881,0.099,0.793
alice,2,28580936,42,0.0211,0.5581,5.291,0.6144,,,1950,1961,0.095,0.887
alice,2,28580936,43,0.0229,0.5398,5.1248,0.6076,,,1924,2042,0.094,0.681
alice,2,28580936,44,0.0233,0.535,5.2116,0.6009,,,1971,2011,0.094,0.822
alice,2,28580936,45,0.0234,0.5431,5.218,0.5942,,,1954,1977,0.095,0.7
alice,2,28580936,46,0.0339,0.5648,5.1388,0.5877,,,2016,1879,0.097,0.753
alice,2,28580936,47,0.0345,0.5489,5.1241,0.5812,,,2026,1879,0.097,0.621
alice,2,28580936,48,0.0286,0.5839,5.2307,0.5749,,,1997,1778,0.101,0.79
alice,2,28580936,49,0.0312,0.5571,5.166,0.5686,,,2003,1894,0.099,0.743
alice,2,28580936,50,0.0244,0.5425,5.1403,0.5624,,,1953,1963,0.093,0.737
alice,2,28580936,51,0.0153,0.5314,5.1404,0.5563,,,1911,2092,0.091,0.772
alice,2,28580936,52,0.0218,0.5258,5.1919,0.5502,,,1970,2090,0.091,0.744
alice,2,28580936,53,0.0146,0.5549,5.0949,0.5443,,,1989,1888,0.096,0.709
alice,2,28580936,54,0.02,0.5757,5.1419,0.5384,,,2012,1852,0.098,0.718
alice,2,28580936,55,0.0261,0.536,5.0555,0.5326,,,2021,1897,0.098,0.724
alice,2,28580936,56,0.0161,0.5768,5.1024,0.5269,,,2023,1797,0.1,0.816
alice,2,28580936,57,0.0157,0.5629,5.1077,0.5212,,,1966,1914,0.094,0.689
alice,2,28580936,58,0.025,0.5505,5.0919,0.5156,,,2037,1900,0.098,0.776
alice,2,28580936,59,0.0186,0.5429,5.0679,0.5101,,,2012,1854,0.098,0.663
alice,2,28580936,60,0.023,0.5736,5.0637,0.5047,,,2076,1714,0.104,0.747
alice,2,28580936,61,0.0239,0.6013,5.1569,0.4994,,,2069,1665,0.106,0.846
alice,2,28580936,62,0.0243,0.6103,5.0311,0.4941,,,2108,1605,0.108,0.75
alice,2,28580936,63,0.0296,0.5904,5.1238,0.4889,,,2089,1641,0.104,0.749
alice,2,28580936,64,0.0146,0.5988,5.1643,0.4837,,,2023,1743,0.101,0.813
alice,2,28580936,65,0.0267,0.5861,5.078,0.4786,,,2092,1711,0.107,0.738
alice,2,28580936,66,0.0195,0.6198,5.2028,0.4736,,,2072,1623,0.104,0.699
alice,2,28580936,67,0.0342,0.6436,5.1396,0.4687,,,2162,1500,0.112,0.695
alice,2,28580936,68,0.0176,0.647,5.1349,0.4638,,,2099,1542,0.109,0.726
alice,2,28580936,69,0.0321,0.6356,5.1392,0.459,,,2180,1493,0.114,0.786
alice,2,28580936,70,0.0221,0.6096,4.952,0.4542,,,2127,1526,0.112,0.638
alice,2,28580936,71,0.0231,0.6066,5.0728,0.4496,,,2123,1593,0.11,0.608
alice,2,28580936,72,0.0298,0.6209,5.1915,0.4449,,,2130,1494,0.115,0.721
alice,2,28580936,73,0.0333,0.6467,5.2136,0.4404,,,2169,1423,0.114,0.674
alice,2,28580936,74,0.0222,0.6731,5.2412,0.4359,,,2098,1437,0.115,0.792
alice,2,28580936,75,0.0335,0.5959,5.1726,0.4314,,,2093,1652,0.107,0.737
alice,2,28580936,76,0.0358,0.6293,5.1679,0.427,,,2142,1510,0.114,0.734
alice,2,28580936,77,0.0161,0.6075,5.1803,0.4227,,,2003,1758,0.103,0.671
alice,2,28580936,78,0.0293,0.5607,5.0117,0.4184,,,2034,1840,0.1,0.751
alice,2,28580936,79,0.0277,0.5634,5.0209,0.4142,,,2063,1810,0.101,0.614
alice,2,28580936,80,0.0257,0.5717,5.1511,0.4101,,,2020,1816,0.101,0.674
alice,2,28580936,81,0.0365,0.594,5.1416,0.406,,,2125,1627,0.108,0.806
alice,2,28580936,82,0.0326,0.6266,5.1734,0.4019,,,2133,1475,0.114,0.83
alice,2,28590076,83,0.0515,0.6275,5.2018,0.3979,,,2177,1445,0.117,0.729
alice,2,28590076,84,0.0655,0.6715,5.1987,0.394,,,2237,1216,0.127,0.797
alice,2,28590076,85,0.0693,0.7175,5.1718,0.3901,,,2265,1047,0.134,0.854
alice,2,28590076,86,0.0605,0.6967,5.1001,0.3863,,,2252,1131,0.128,0.658
alice,2,28590076,87,0.074,0.7,5.2515,0.3825,,,2259,1117,0.129,0.781
alice,2,28590076,88,0.0699,0.6783,5.116,0.3787,,,2266,1117,0.129,0.765
alice,2,28590076,89,0.0878,0.6924,5.0967,0.375,,,2272,1046,0.135,0.789
alice,2,28590076,90,0.0812,0.7064,5.1804,0.3714,,,2274,1059,0.135,0.694
alice,2,28590076,91,0.0776,0.6971,5.0506,0.3678,,,2288,1069,0.134,0.829
alice,2,28590076,92,0.0919,0.7198,5.2021,0.3643,,,2290,1049,0.135,0.684
alice,2,28590076,93,0.107,0.7296,5.1682,0.3608,,,2306,982,0.138,0.707
alice,2,28590076,94,0.0928,0.7204,5.1129,0.3573,,,2313,992,0.136,0.733
alice,2,28590076,95,0.0952,0.7085,5.0881,0.3539,,,2321,1015,0.135,0.832
alice,2,28590076,96,0.1196,0.7415,5.1964,0.3506,,,2356,857,0.143,0.696
alice,2,28590076,97,0.0947,0.7288,5.1345,0.3472,,,2342,880,0.143,0.705
alice,2,28590076,98,0.0864,0.7331,5.0876,0.344,,,2368,865,0.142,0.796
alice,2,28590076,99,0.1102,0.7441,5.0707,0.3407,,,2378,795,0.151,0.694
alice,2,28590076,100,0.0828,0.7156,5.0821,0.3376,,,2314,931,0.143,0.832
alice,2,28590076,101,0.0537,0.7182,5.0612,0.3344,,,2299,988,0.14,0.692
alice,2,28590076,102,0.0725,0.748,5.0429,0.3313,,,2349,882,0.144,0.71
alice,2,28590076,103,0.0728,0.7297,5.0583,0.3282,,,2362,906,0.142,0.748
alice,2,28590076,104,0.0667,0.7081,5.078,0.3252,,,2344,914,0.142,0.804
alice,2,28590076,105,0.0649,0.6998,5.063,0.3222,,,2352,917,0.144,0.688
alice,2,28590076,106,0.0524,0.7197,5.0674,0.3193,,,2309,941,0.141,0.602
alice,2,28590076,107,0.0604,0.7402,5.1192,0.3164,,,2355,872,0.145,0.789
alice,2,28590076,108,0.0602,0.7115,4.951,0.3135,,,2338,884,0.145,0.773
alice,2,28590076,109,0.0728,0.7548,5.1998,0.3107,,,2377,843,0.149,0.698
alice,2,28590076,110,0.0569,0.7579,5.0759,0.3079,,,2345,861,0.143,0.731
alice,2,28590076,111,0.061,0.7611,4.973,0.3052,,,2388,831,0.145,0.755
alice,2,28590076,112,0.0676,0.7408,5.0368,0.3025,,,2392,814,0.15,0.77
alice,2,28590076,113,0.0679,0.7419,4.9701,0.2998,,,2385,764,0.152,0.692
alice,2,28590076,114,0.08,0.7342,5.0596,0.2971,,,2413,795,0.153,0.87
alice,2,28590076,115,0.0532,0.7201,4.9928,0.2945,,,2338,900,0.144,0.802
alice,2,28590076,116,0.0541,0.719,4.9519,0.292,,,2350,895,0.142,0.667
alice,2,28590076,117,0.0667,0.7551,5.0034,0.2894,,,2381,786,0.147,0.685
alice,2,28590076,118,0.0744,0.7354,4.9318,0.2869,,,2363,858,0.143,0.729
alice,2,28590076,119,0.0639,0.7393,4.9747,0.2844,,,2391,860,0.144,0.797
alice,2,28590076,120,0.066,0.7782,4.9935,0.282,,,2429,730,0.153,0.698
alice,2,28590076,121,0.0648,0.7637,5.0558,0.2796,,,2429,702,0.156,0.857
alice,2,28590076,122,0.0613,0.785,5.0496,0.2772,,,2441,637,0.161,0.718
