agent,chain,job_id,global_iter,loss,val,rew,entropy_coef,abc,abc_coef,sr,valid_goals,invalid_goals,avg_xy,max_xy,avg_z
alice,2,28676064,0,0.0213,0.4501,5.6111,1.0,,,,85,199,0.055,0.421,0.002
alice,2,28676064,1,0.0049,0.5029,5.2424,0.9881,,,,79,151,0.061,0.582,0.002
alice,2,28676064,2,-0.0015,0.3714,5.4,0.9763,,,,74,171,0.056,0.641,0.002
alice,2,28676064,3,0.0021,0.3042,4.75,0.9647,,,,77,172,0.059,0.352,0.003
alice,2,28676064,4,-0.0032,0.3865,5.5833,0.9533,,,,87,142,0.068,0.573,0.002
alice,2,28676064,5,-0.019,0.4803,5.8148,0.942,,,,74,133,0.058,0.475,0.003
alice,2,28676064,6,0.0013,0.3201,5.3478,0.9309,,,,73,180,0.057,0.546,0.002
alice,2,28676064,7,-0.0041,0.3381,5.5455,0.9199,,,,71,174,0.054,0.477,0.002
alice,2,28676064,8,0.0133,0.43,5.3333,0.909,,,,85,140,0.061,0.38,0.003
alice,2,28676064,9,-0.0073,0.3287,5.3478,0.8983,,,,73,165,0.052,0.372,0.003
alice,2,28676064,10,0.0133,0.3411,4.8462,0.8878,,,,80,152,0.059,0.444,0.002
alice,2,28676064,11,-0.0004,0.3971,4.9688,0.8773,,,,75,160,0.056,0.68,0.002
alice,2,28676064,12,0.0207,0.4161,5.3333,0.8671,,,,84,150,0.062,0.53,0.002
alice,2,28676064,13,0.0155,0.4125,5.3333,0.8569,,,,82,141,0.061,0.336,0.002
alice,2,28676064,14,0.0013,0.3047,5.1667,0.8469,,,,75,164,0.052,0.365,0.002
alice,2,28676064,15,0.0054,0.2852,5.0,0.837,,,,71,184,0.054,0.462,0.002
alice,2,28676064,16,0.0044,0.4089,5.3333,0.8273,,,,77,147,0.058,0.475,0.002
alice,2,28676064,17,0.0184,0.3403,5.375,0.8176,,,,76,163,0.053,0.338,0.002
alice,2,28676064,18,0.0101,0.396,5.0323,0.8081,,,,74,160,0.059,0.444,0.002
alice,2,28676064,19,0.0104,0.3287,5.2,0.7988,,,,71,180,0.052,0.347,0.002
alice,2,28676064,20,0.017,0.4384,5.1667,0.7895,,,,70,162,0.059,0.424,0.002
alice,2,28676064,21,0.0311,0.4141,5.3939,0.7804,,,,85,167,0.063,0.597,0.003
alice,2,28676064,22,0.0049,0.4081,5.6296,0.7714,,,,70,165,0.057,0.667,0.002
alice,2,28676064,23,0.0167,0.2982,4.9565,0.7625,,,,78,170,0.057,0.481,0.002
alice,2,28676064,24,0.0021,0.2943,5.4737,0.7537,,,,72,172,0.054,0.48,0.002
alice,2,28676064,25,0.0019,0.3002,5.25,0.7451,,,,74,169,0.058,0.987,0.002
alice,2,28676064,26,0.0026,0.4239,5.4643,0.7366,,,,78,149,0.069,0.508,0.002
alice,2,28676064,27,0.016,0.4583,5.2424,0.7281,,,,82,140,0.071,0.541,0.002
alice,2,28676064,28,0.0163,0.2627,5.0,0.7198,,,,72,179,0.056,0.488,0.003
alice,2,28676064,29,0.0091,0.4381,5.6552,0.7116,,,,80,147,0.062,0.439,0.003
alice,2,28676064,30,0.0178,0.4413,5.5161,0.7035,,,,78,142,0.067,0.435,0.002
alice,2,28676064,31,0.0243,0.3598,5.0333,0.6955,,,,77,163,0.057,0.756,0.003
alice,2,28676064,32,0.0164,0.4118,5.4828,0.6877,,,,84,153,0.066,0.483,0.003
alice,2,28676064,33,0.0053,0.2883,3.7778,0.6799,,,,84,155,0.061,0.482,0.003
alice,2,28676064,34,0.0095,0.4285,5.2857,0.6722,,,,84,135,0.069,0.491,0.003
alice,2,28676064,35,-0.0109,0.4028,5.0741,0.6646,,,,76,151,0.062,0.529,0.002
alice,2,28676064,36,-0.0016,0.348,5.3478,0.6572,,,,75,176,0.057,0.59,0.002
alice,2,28676064,37,0.0065,0.4372,5.4828,0.6498,,,,73,150,0.061,0.383,0.002
alice,2,28676064,38,0.0238,0.4227,5.2188,0.6425,,,,85,161,0.059,0.407,0.003
alice,2,28676064,39,0.0018,0.4092,5.6154,0.6353,,,,76,155,0.056,0.372,0.002
alice,2,28676064,40,0.0234,0.4334,5.2188,0.6283,,,,88,133,0.062,0.437,0.002
