agent,chain,job_id,local_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
bob,1,28550198,19,-0.0003,0.1305,0.0,,-1.0805,0.0894,,,,
bob,1,28550198,20,-0.0005,0.1252,0.0,,-1.0809,0.0836,,,,
bob,1,28550198,21,-0.0,0.1271,0.0,,-1.0742,0.0861,,,,
bob,1,28550198,22,-0.0008,0.1251,0.0,,-1.0534,0.0901,,,,
bob,1,28550198,23,-0.0003,0.1206,0.0,,-1.0688,0.0828,,,,
bob,1,28550198,24,0.0006,0.1401,0.0,,-1.0521,0.094,,,,
bob,1,28550198,25,-0.0004,0.1164,0.0,,-1.0713,0.0808,,,,
bob,1,28550198,26,-0.0,0.1171,0.0,,-1.115,0.0824,,,,
bob,1,28550198,27,-0.0002,0.1101,0.0,,-1.0851,0.0792,,,,
bob,1,28550198,28,0.0,0.138,0.0,,-1.0575,0.0997,,,,
bob,1,28550198,29,-0.0005,0.1621,0.0,,-1.0584,0.1089,,,,
bob,1,28550198,30,0.0002,0.1222,0.0,,-1.0627,0.0858,,,,
bob,1,28550198,31,0.0008,0.1296,0.0,,-1.0479,0.0903,,,,
bob,1,28550198,32,0.0002,0.1674,0.0,,-1.0854,0.1115,,,,
bob,1,28550198,33,0.0004,0.1468,0.0,,-1.0816,0.105,,,,
bob,1,28550198,34,-0.0003,0.099,0.0,,-1.1067,0.0723,,,,
bob,1,28550198,35,-0.0002,0.1304,0.0,,-1.0795,0.0972,,,,
bob,1,28550198,36,-0.0004,0.1216,0.0,,-1.0595,0.0844,,,,
bob,1,28550198,37,0.0002,0.1482,0.0,,-1.0381,0.104,,,,
bob,1,28550198,38,0.0008,0.1581,0.0,,-1.0375,0.1149,,,,
bob,1,28550198,39,-0.0,0.1513,0.0,,-1.0311,0.1115,,,,
bob,1,28550198,40,-0.0006,0.1172,0.0,,-1.0259,0.0874,,,,
bob,1,28550198,41,-0.0005,0.1503,0.0,,-1.0306,0.1092,,,,
bob,1,28550198,42,0.0018,0.148,0.0,,-1.0215,0.1091,,,,
bob,1,28550198,43,0.0013,0.1611,0.0,,-1.0194,0.1256,,,,
bob,1,28550198,44,0.0002,0.1617,0.0,,-1.0247,0.1158,,,,
bob,1,28550198,45,-0.0005,0.1445,0.0,,-1.0229,0.1042,,,,
bob,1,28550198,46,-0.0009,0.139,0.0,,-1.0216,0.0993,,,,
bob,1,28550198,47,0.0001,0.1331,0.0,,-1.0164,0.0976,,,,
bob,1,28550198,48,0.0004,0.1378,0.0,,-1.0241,0.1132,,,,
bob,1,28550198,49,0.0012,0.1575,0.0,,-1.0176,0.112,,,,
bob,1,28550198,50,-0.0002,0.1453,0.0,,-1.0237,0.1092,,,,
bob,1,28550198,51,-0.0001,0.1511,0.0,,-1.0207,0.1097,,,,
bob,1,28550198,52,-0.0001,0.1465,0.0,,-1.0167,0.1048,,,,
bob,1,28550198,53,0.0011,0.1429,0.0,,-1.0176,0.1071,,,,
bob,1,28550198,54,0.0009,0.1668,0.0,,-1.0196,0.1258,,,,
bob,1,28550198,55,0.0011,0.1461,0.0,,-1.0156,0.1068,,,,
bob,1,28550198,56,0.0019,0.1367,0.0,,-1.0149,0.1092,,,,
bob,1,28550198,57,0.0009,0.1253,0.0,,-1.0187,0.0939,,,,
alice,1,28551106,60,0.0526,0.426,5.2493,0.5047,,,706,1498,0.056,0.462
alice,1,28551106,61,0.035,0.3056,5.1087,0.4994,,,646,1297,0.061,0.612
alice,1,28551106,62,0.0031,0.2801,5.078,0.4941,,,597,1331,0.058,0.591
alice,1,28551106,63,0.0149,0.3345,5.3805,0.4889,,,616,1240,0.061,0.58
alice,1,28551106,64,0.0224,0.3416,5.0516,0.4837,,,658,1179,0.062,0.505
alice,1,28551106,65,0.0208,0.283,4.9409,0.4786,,,634,1250,0.06,0.622
alice,1,28551106,66,0.0214,0.2711,4.7944,0.4736,,,642,1241,0.061,0.638
alice,1,28551106,67,0.0259,0.3548,5.1169,0.4687,,,661,1125,0.066,0.597
alice,1,28551106,68,0.0203,0.2923,5.0321,0.4638,,,632,1233,0.061,0.642
alice,1,28551106,69,0.029,0.3355,5.0121,0.459,,,657,1159,0.064,0.636
alice,1,28551106,70,0.0313,0.3475,5.1815,0.4542,,,669,1149,0.066,0.535
alice,1,28551106,71,0.0269,0.338,4.8933,0.4496,,,662,1120,0.066,0.597
alice,1,28551106,72,0.0241,0.326,4.869,0.4449,,,659,1176,0.064,0.682
alice,1,28551106,73,0.0311,0.2982,4.585,0.4404,,,695,1152,0.068,0.653
alice,1,28551106,74,0.0302,0.3441,5.0524,0.4359,,,670,1116,0.067,0.545
alice,1,28551106,75,0.0365,0.3785,5.0471,0.4314,,,696,1035,0.073,0.699
alice,1,28551106,76,0.0311,0.3248,5.1458,0.427,,,700,1103,0.07,0.716
alice,1,28551106,77,0.0304,0.3531,5.1029,0.4227,,,705,1038,0.075,0.755
alice,1,28551106,78,0.0322,0.3343,4.8446,0.4184,,,684,1058,0.072,0.57
alice,1,28551106,79,0.0401,0.3842,5.2948,0.4142,,,705,1037,0.074,0.516
alice,1,28551106,80,0.0378,0.3818,5.0179,0.4101,,,711,1004,0.075,0.588
alice,1,28551106,81,0.0319,0.3324,4.9421,0.406,,,705,1077,0.072,0.561
alice,1,28551106,82,0.037,0.3708,5.0258,0.4019,,,694,1018,0.075,0.551
alice,1,28551106,83,0.0444,0.351,5.0337,0.3979,,,721,1040,0.074,0.655
alice,1,28551106,84,0.0296,0.3413,5.1306,0.394,,,692,1049,0.075,0.723
alice,1,28551106,85,0.0495,0.3563,4.9887,0.3901,,,753,960,0.083,0.665
alice,1,28551106,86,0.0287,0.3501,4.9727,0.3863,,,704,980,0.078,0.796
alice,1,28551106,87,0.032,0.3382,5.08,0.3825,,,717,1040,0.079,0.643
alice,1,28551106,88,0.0332,0.345,4.8911,0.3787,,,722,973,0.081,0.561
alice,1,28551106,89,0.0385,0.3426,4.9044,0.375,,,764,935,0.082,0.584
alice,1,28551106,90,0.0218,0.3627,5.0078,0.3714,,,698,970,0.08,0.717
alice,1,28551106,91,0.0389,0.3435,4.9544,0.3678,,,723,1008,0.081,0.54
alice,1,28551106,92,0.0261,0.3475,4.8513,0.3643,,,732,1000,0.081,0.675
alice,1,28551106,93,0.0391,0.3626,4.9444,0.3608,,,746,934,0.083,0.563
alice,1,28551106,94,0.0384,0.3572,4.9394,0.3573,,,738,946,0.086,0.704
alice,1,28551106,95,0.0365,0.3252,4.7725,0.3539,,,740,975,0.086,0.761
alice,1,28551106,96,0.0286,0.3527,4.8088,0.3506,,,727,962,0.085,0.608
alice,1,28551106,97,0.0386,0.3611,4.941,0.3472,,,0,0,,
bob,1,28551106,60,0.0079,0.1551,0.0,,-1.0076,0.1501,,,,
bob,1,28551106,61,-0.0013,0.1584,0.0,,-1.032,0.1149,,,,
bob,1,28551106,62,0.0022,0.1465,0.0,,-1.0141,0.1063,,,,
bob,1,28551106,63,-0.0004,0.1185,0.0,,-1.0203,0.0825,,,,
bob,1,28551106,64,0.0001,0.1375,0.0,,-1.0272,0.0981,,,,
bob,1,28551106,65,-0.0007,0.1764,0.0,,-1.0302,0.1294,,,,
bob,1,28551106,66,-0.0003,0.1538,0.0,,-1.0319,0.1162,,,,
bob,1,28551106,67,0.0012,0.1267,0.0,,-1.0342,0.0947,,,,
bob,1,28551106,68,0.0008,0.1334,0.0,,-1.0304,0.0967,,,,
bob,1,28551106,69,0.0004,0.1544,0.0,,-1.0201,0.1165,,,,
bob,1,28551106,70,-0.0002,0.1222,0.0,,-1.0355,0.0927,,,,
bob,1,28551106,71,-0.0,0.1391,0.0,,-1.0329,0.1009,,,,
bob,1,28551106,72,0.0014,0.159,0.0,,-1.0244,0.121,,,,
bob,1,28551106,73,0.0016,0.19,0.0,,-1.0217,0.147,,,,
bob,1,28551106,74,0.0004,0.1549,0.0,,-1.0239,0.113,,,,
bob,1,28551106,75,0.0002,0.1423,0.0,,-1.035,0.1032,,,,
bob,1,28551106,76,-0.0001,0.1261,0.0,,-1.0362,0.0939,,,,
bob,1,28551106,77,0.0003,0.1232,0.0,,-1.0336,0.0896,,,,
bob,1,28551106,78,0.0001,0.17,0.0,,-1.0281,0.129,,,,
bob,1,28551106,79,0.0002,0.1273,0.0,,-1.0344,0.0927,,,,
bob,1,28551106,80,0.0011,0.154,0.0,,-1.035,0.1116,,,,
bob,1,28551106,81,0.0003,0.1416,0.0,,-1.0394,0.1087,,,,
bob,1,28551106,82,0.0006,0.14,0.0,,-1.0295,0.106,,,,
bob,1,28551106,83,0.0002,0.1394,0.0,,-1.0404,0.1087,,,,
bob,1,28551106,84,0.0007,0.1106,0.0,,-1.0318,0.0801,,,,
bob,1,28551106,85,-0.0003,0.1425,0.0,,-1.0284,0.1164,,,,
bob,1,28551106,86,0.0001,0.1205,0.0,,-1.0228,0.0888,,,,
bob,1,28551106,87,0.0013,0.1283,0.0,,-1.0232,0.1003,,,,
bob,1,28551106,88,0.0006,0.1271,0.0,,-1.0231,0.0953,,,,
bob,1,28551106,89,-0.0004,0.1422,0.0,,-1.0291,0.1061,,,,
bob,1,28551106,90,-0.0,0.137,0.0,,-1.0277,0.0988,,,,
bob,1,28551106,91,0.0004,0.1492,0.0,,-1.0287,0.1191,,,,
bob,1,28551106,92,0.0004,0.1416,0.0,,-1.0304,0.1056,,,,
bob,1,28551106,93,0.0006,0.1397,0.0,,-1.0284,0.105,,,,
bob,1,28551106,94,-0.0,0.1455,0.0,,-1.028,0.1176,,,,
bob,1,28551106,95,-0.0001,0.1479,0.0,,-1.0382,0.1207,,,,
bob,1,28551106,96,0.0007,0.1442,0.0,,-1.0207,0.1177,,,,
bob,1,28551106,97,-0.0003,0.1272,0.0,,-1.028,0.1047,,,,
