agent,chain,job_id,local_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,1,28550198,0,0.0225,0.3464,5.4667,1.0,,,624,1721,0.05,0.662
alice,1,28550198,1,0.0017,0.2646,5.2732,0.9881,,,534,1513,0.05,0.56
alice,1,28550198,2,0.0027,0.2907,5.1043,0.9763,,,585,1408,0.053,0.572
alice,1,28550198,3,-0.0024,0.2523,5.1955,0.9647,,,554,1462,0.05,0.557
alice,1,28550198,4,-0.0031,0.2607,5.3842,0.9533,,,539,1461,0.049,0.669
alice,1,28550198,5,0.0,0.2635,5.3568,0.942,,,549,1455,0.051,0.569
alice,1,28550198,6,0.0025,0.3146,5.4393,0.9309,,,594,1348,0.053,0.54
alice,1,28550198,7,-0.0032,0.2553,5.1489,0.9199,,,540,1456,0.05,0.636
alice,1,28550198,8,0.001,0.2637,5.3684,0.909,,,560,1463,0.052,0.484
alice,1,28550198,9,-0.0018,0.2787,5.2574,0.8983,,,541,1456,0.048,0.529
alice,1,28550198,10,0.0046,0.3005,5.2545,0.8878,,,581,1380,0.055,0.743
alice,1,28550198,11,0.0024,0.2513,5.2432,0.8773,,,550,1457,0.051,0.503
alice,1,28550198,12,0.0019,0.2781,5.2356,0.8671,,,562,1419,0.051,0.501
alice,1,28550198,13,0.0009,0.2888,5.378,0.8569,,,586,1402,0.054,0.668
alice,1,28550198,14,-0.0048,0.288,5.1315,0.8469,,,564,1392,0.054,0.559
alice,1,28550198,15,0.0057,0.2627,4.8356,0.837,,,604,1395,0.053,0.584
alice,1,28550198,16,-0.0013,0.2843,5.3431,0.8273,,,569,1355,0.054,0.469
alice,1,28550198,17,0.001,0.2827,5.3095,0.8176,,,560,1427,0.051,0.555
alice,1,28550198,18,0.0049,0.2712,4.9367,0.8081,,,592,1389,0.052,0.581
alice,1,28550198,19,0.0029,0.3236,5.2254,0.7988,,,616,1292,0.057,0.474
alice,1,28550198,20,0.0043,0.3041,5.2788,0.7895,,,613,1313,0.056,0.675
alice,1,28550198,21,0.001,0.2495,5.1031,0.7804,,,581,1396,0.053,0.551
alice,1,28550198,22,0.0008,0.2504,5.1053,0.7714,,,580,1384,0.052,0.689
alice,1,28550198,23,0.0091,0.2828,5.1682,0.7625,,,601,1304,0.057,0.63
alice,1,28550198,24,0.007,0.2939,5.0217,0.7537,,,593,1323,0.056,0.62
alice,1,28550198,25,0.0118,0.2777,5.3495,0.7451,,,585,1397,0.054,0.717
alice,1,28550198,26,0.0083,0.3026,5.2237,0.7366,,,606,1295,0.057,0.555
alice,1,28550198,27,0.0068,0.3278,5.3361,0.7281,,,611,1290,0.057,0.57
alice,1,28550198,28,0.0108,0.2651,5.0613,0.7198,,,596,1375,0.056,0.788
alice,1,28550198,29,0.0066,0.2617,4.8108,0.7116,,,590,1372,0.053,0.627
alice,1,28550198,30,0.0136,0.269,5.0698,0.7035,,,605,1358,0.055,0.588
alice,1,28550198,31,0.0121,0.2877,5.0411,0.6955,,,606,1297,0.056,0.539
alice,1,28550198,32,0.0038,0.314,4.92,0.6877,,,602,1299,0.057,0.538
alice,1,28550198,33,0.0085,0.281,5.0437,0.6799,,,582,1400,0.053,0.558
alice,1,28550198,34,0.0113,0.2794,5.2944,0.6722,,,613,1320,0.055,0.531
alice,1,28550198,35,0.0071,0.2636,5.0433,0.6646,,,597,1355,0.054,0.511
alice,1,28550198,36,0.0075,0.3162,5.1674,0.6572,,,610,1267,0.057,0.693
alice,1,28550198,37,0.0103,0.2796,5.0444,0.6498,,,610,1367,0.055,0.548
alice,1,28550198,38,0.0104,0.2572,4.9372,0.6425,,,572,1387,0.052,0.524
alice,1,28550198,39,0.0174,0.284,4.9915,0.6353,,,629,1312,0.058,0.626
alice,1,28550198,40,0.0107,0.2969,5.2,0.6283,,,608,1289,0.058,0.568
alice,1,28550198,41,0.0141,0.3122,5.0361,0.6213,,,615,1287,0.057,0.604
alice,1,28550198,42,0.0137,0.3246,5.0739,0.6144,,,613,1272,0.056,0.552
alice,1,28550198,43,0.0203,0.2799,4.8589,0.6076,,,630,1315,0.059,0.481
alice,1,28550198,44,0.0131,0.2733,4.8197,0.6009,,,605,1330,0.056,0.506
alice,1,28550198,45,0.0166,0.3024,5.0,0.5942,,,627,1267,0.059,0.477
alice,1,28550198,46,0.0168,0.2862,4.9083,0.5877,,,633,1307,0.06,0.545
alice,1,28550198,47,0.0095,0.2913,5.0362,0.5812,,,591,1302,0.056,0.513
alice,1,28550198,48,0.0154,0.2626,4.9234,0.5749,,,608,1339,0.057,0.538
alice,1,28550198,49,0.014,0.2521,4.6968,0.5686,,,584,1358,0.055,0.576
alice,1,28550198,50,0.0241,0.2647,4.9686,0.5624,,,628,1329,0.058,0.605
alice,1,28550198,51,0.007,0.2623,4.6741,0.5563,,,600,1342,0.056,0.633
alice,1,28550198,52,0.008,0.279,5.0489,0.5502,,,595,1339,0.056,0.576
alice,1,28550198,53,0.0141,0.2677,4.9908,0.5443,,,616,1341,0.057,0.665
alice,1,28550198,54,0.0102,0.2757,4.7269,0.5384,,,605,1302,0.058,0.61
alice,1,28550198,55,0.0173,0.3067,4.9482,0.5326,,,624,1286,0.059,0.708
alice,1,28550198,56,0.0172,0.2681,5.0541,0.5269,,,624,1312,0.059,0.584
alice,1,28550198,57,0.0077,0.3108,5.0717,0.5212,,,621,1271,0.059,0.547
bob,1,28550198,0,-0.0312,0.119,0.0,,-1.013,0.1037,,,,
bob,1,28550198,1,0.0005,0.1055,0.0,,-1.0106,0.0689,,,,
bob,1,28550198,2,0.0002,0.1282,0.0,,-1.0304,0.0836,,,,
bob,1,28550198,3,0.0001,0.1213,0.0,,-1.0235,0.0814,,,,
bob,1,28550198,4,0.0006,0.0948,0.0,,-1.0187,0.0652,,,,
bob,1,28550198,5,0.0004,0.1238,0.0,,-1.031,0.0804,,,,
bob,1,28550198,6,0.0006,0.0929,0.0,,-1.0372,0.064,,,,
bob,1,28550198,7,0.0017,0.1534,0.0,,-1.021,0.1021,,,,
bob,1,28550198,8,0.0002,0.0964,0.0,,-1.0459,0.0646,,,,
bob,1,28550198,9,-0.0008,0.1282,0.0,,-1.0304,0.0822,,,,
bob,1,28550198,10,0.0015,0.1167,0.0,,-1.0781,0.0769,,,,
bob,1,28550198,11,-0.0001,0.134,0.0,,-1.0305,0.0934,,,,
bob,1,28550198,12,0.0002,0.1204,0.0,,-1.0389,0.0785,,,,
bob,1,28550198,13,-0.0,0.1305,0.0,,-1.0635,0.0835,,,,
bob,1,28550198,14,-0.0004,0.1357,0.0,,-1.0428,0.0881,,,,
bob,1,28550198,15,0.0003,0.1936,0.0,,-1.054,0.1298,,,,
bob,1,28550198,16,-0.0006,0.1085,0.0,,-1.0466,0.073,,,,
bob,1,28550198,17,0.0009,0.1403,0.0,,-1.0448,0.0922,,,,
bob,1,28550198,18,-0.0005,0.1534,0.0,,-1.0729,0.1051,,,,
