agent,chain,job_id,local_iter,loss,val,rew,entropy_coef,abc,sr,valid_goals,invalid_goals,avg_xy,max_xy
alice,0,28550193,0,0.0198,0.3806,5.4733,1.0,,,2499,6803,0.049,0.7
alice,0,28550193,1,0.0018,0.282,5.3268,0.9881,,,2155,6106,0.048,0.637
alice,0,28550193,2,-0.0007,0.2605,5.3027,0.9763,,,2132,6080,0.048,0.656
alice,0,28550193,3,-0.0026,0.2418,5.3526,0.9647,,,2038,6241,0.047,0.626
alice,0,28550193,4,0.0003,0.2599,5.4681,0.9533,,,2056,6171,0.047,0.755
alice,0,28550193,5,0.0008,0.263,5.4696,0.942,,,2100,6175,0.048,0.761
alice,0,28550193,6,-0.0001,0.2515,5.278,0.9309,,,2094,6153,0.047,0.684
alice,0,28550193,7,-0.0014,0.2478,5.2738,0.9199,,,2067,6227,0.046,0.623
alice,0,28550193,8,0.0022,0.2778,5.377,0.909,,,2151,5984,0.048,0.606
alice,0,28550193,9,0.0036,0.2693,5.3304,0.8983,,,2208,5876,0.051,0.741
alice,0,28550193,10,-0.0002,0.2495,5.1395,0.8878,,,2121,6037,0.049,0.676
alice,0,28550193,11,0.0038,0.2763,5.2443,0.8773,,,2249,5788,0.053,0.715
alice,0,28550193,12,0.0005,0.2543,5.2726,0.8671,,,2199,5921,0.05,0.713
alice,0,28550193,13,-0.0008,0.2522,5.2437,0.8569,,,2208,5859,0.051,0.798
alice,0,28550193,14,-0.0013,0.2745,5.1793,0.8469,,,2237,5709,0.052,0.611
alice,0,28550193,15,-0.0,0.2625,5.244,0.837,,,2222,5840,0.051,0.676
alice,0,28550193,16,0.0024,0.2792,5.2277,0.8273,,,2238,5668,0.053,0.692
alice,0,28550193,17,0.0022,0.2709,5.1983,0.8176,,,2290,5698,0.053,0.602
alice,0,28550193,18,0.0013,0.2685,5.2315,0.8081,,,0,0,,
bob,0,28550193,0,-0.0172,0.1147,0.0,,-1.0158,0.1033,,,,
bob,0,28550193,1,-0.0003,0.1134,0.0,,-1.0092,0.0709,,,,
bob,0,28550193,2,0.0008,0.1172,0.0,,-1.0108,0.0756,,,,
bob,0,28550193,3,0.0005,0.1062,0.0,,-1.0088,0.0693,,,,
bob,0,28550193,4,0.0003,0.1001,0.0,,-1.0058,0.0653,,,,
bob,0,28550193,5,-0.0003,0.098,0.0,,-1.0058,0.064,,,,
bob,0,28550193,6,0.0004,0.1279,0.0,,-1.0049,0.0833,,,,
bob,0,28550193,7,0.0007,0.1207,0.0,,-1.0035,0.0795,,,,
bob,0,28550193,8,0.0001,0.1051,0.0,,-1.0084,0.0708,,,,
bob,0,28550193,9,0.0005,0.1051,0.0,,-1.0083,0.073,,,,
bob,0,28550193,10,-0.0003,0.1367,0.0,,-1.0057,0.0891,,,,
bob,0,28550193,11,-0.0001,0.1315,0.0,,-1.0055,0.0877,,,,
bob,0,28550193,12,0.0003,0.1201,0.0,,-1.0043,0.0804,,,,
bob,0,28550193,13,0.0001,0.1164,0.0,,-1.0101,0.0785,,,,
bob,0,28550193,14,0.0008,0.1258,0.0,,-1.0101,0.0818,,,,
bob,0,28550193,15,0.0002,0.1102,0.0,,-1.0065,0.0754,,,,
bob,0,28550193,16,-0.0007,0.1111,0.0,,-1.0062,0.0769,,,,
bob,0,28550193,17,0.0003,0.1208,0.0,,-1.0092,0.0807,,,,
bob,0,28550193,18,0.0001,0.127,0.0,,-1.007,0.08,,,,
