pushes,success,goal_x,goal_y,goal_z,goal_yaw,final_x,final_y,final_z,err_pos,err_rot
3,False,0.349,0.435,0.02,4.799,0.0,0.499,0.0,0.355,1.661
3,False,0.216,0.598,0.02,5.604,0.029,0.544,-0.0,0.195,2.778
3,False,0.143,0.421,0.02,0.068,0.005,0.63,0.0,0.252,3.069
3,False,-0.092,0.363,0.02,3.768,0.0,0.5,0.0,0.166,0.626
3,False,-0.185,0.525,0.02,5.105,0.044,0.718,0.0,0.301,0.66
3,False,0.235,0.462,0.02,1.435,0.135,0.386,0.056,0.131,2.558
3,False,0.14,0.37,0.02,0.547,0.109,0.444,0.0,0.082,1.518
3,False,-0.116,0.68,0.02,2.732,0.027,0.526,0.0,0.211,0.127
3,False,0.2,0.53,0.02,3.236,0.041,0.523,0.0,0.16,0.543
3,False,0.06,0.363,0.02,3.873,0.338,0.795,0.0,0.514,2.414
3,False,0.167,0.306,0.02,5.695,-0.217,0.72,0.0,0.565,2.354
3,False,-0.084,0.661,0.02,2.538,-0.012,0.482,0.0,0.195,1.274
3,False,0.308,0.427,0.02,2.311,-0.257,0.326,0.0,0.574,2.171
3,False,0.397,0.557,0.02,4.63,-0.272,0.229,0.0,0.745,1.031
3,False,-0.332,0.685,0.02,2.974,-0.017,0.559,0.0,0.34,0.251
3,False,0.289,0.628,0.02,3.262,-0.212,0.447,0.0,0.533,2.432
3,False,-0.074,0.359,0.02,4.454,0.005,0.509,-0.0,0.17,1.181
3,False,-0.275,0.593,0.02,4.315,0.05,0.486,0.0,0.343,1.637
3,False,-0.182,0.555,0.02,3.443,0.084,0.574,0.0,0.267,0.104
3,False,0.32,0.415,0.02,6.198,0.012,0.509,0.0,0.323,3.027
3,False,-0.051,0.585,0.02,1.89,-0.145,0.586,0.0,0.096,2.643
1,False,0.02,0.651,0.02,2.148,0.016,0.691,0.051,0.051,3.018
3,False,-0.351,0.486,0.02,1.563,-0.012,0.506,0.0,0.34,3.02
3,False,-0.166,0.697,0.02,2.68,-0.472,0.683,-0.0,0.307,0.45
3,False,-0.388,0.695,0.02,1.664,-0.004,0.528,0.0,0.42,1.667
3,False,0.02,0.465,0.02,1.971,-0.094,0.529,0.0,0.132,0.836
3,False,0.281,0.604,0.02,1.059,0.0,0.5,0.0,0.301,2.083
3,False,0.332,0.687,0.02,6.148,-0.056,0.23,-0.0,0.6,2.387
3,False,-0.014,0.697,0.02,2.452,-0.044,0.316,-0.0,0.382,0.451
3,False,0.13,0.325,0.02,4.117,-0.038,0.526,0.0,0.262,1.651
3,False,-0.246,0.656,0.02,3.365,0.125,0.613,0.0,0.374,2.038
3,False,0.328,0.546,0.02,5.449,-0.157,0.383,0.0,0.513,1.954
3,False,-0.21,0.588,0.02,0.588,0.016,0.502,-0.0,0.242,2.64
3,False,-0.346,0.559,0.02,1.586,0.005,0.459,0.0,0.366,1.991
3,False,0.221,0.356,0.02,1.064,0.0,0.5,0.0,0.265,2.078
